03_hivemind/num_clients,04_peers/peer_1_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/epoch_based_sps,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/estimated_current_samples,_step,_timestamp,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,_runtime,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,62769,102,1680690078.0,,,162,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,64240,103,1680690079.0,,,163,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,65710,104,1680690080.0,,,164,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,67184,105,1680690081.0,,,165,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,68656,106,1680690082.0,,,166,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,70126,107,1680690083.0,,,167,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,71585,108,1680690084.0,,,168,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,73055,109,1680690085.0,,,169,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,74525,110,1680690086.0,,,170,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,75985,111,1680690087.0,,,171,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,77454,112,1680690088.0,,,172,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,78916,113,1680690089.0,,,173,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,80382,114,1680690090.0,,,174,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,81850,115,1680690091.0,,,175,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,83314,116,1680690092.0,,,176,0.5,709.93,0.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,3.0,3.0,0.0,0.0,0,,0.0,,,2,3,84784,117,1680690093.0,,,177,0.5,709.93,0.0,1435.1215965140234,,0.0
