03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
141960,6467.636090414346,8,0,44,0.0,142,4,0.5,6467.636090414346,1683052702,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
148682,6467.636090414346,8,0,45,0.0,143,4,0.5,6467.636090414346,1683052703,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
155412,6467.636090414346,8,0,46,0.0,144,4,0.5,6467.636090414346,1683052704,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
162202,6467.636090414346,8,0,47,0.0,146,4,0.5,6467.636090414346,1683052706,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
168923,6467.636090414346,8,0,48,0.0,147,4,0.5,6467.636090414346,1683052707,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
175681,6467.636090414346,8,0,49,0.0,148,4,0.5,6467.636090414346,1683052708,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
182413,6467.636090414346,8,0,50,0.0,149,4,0.5,6467.636090414346,1683052709,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
189115,6467.636090414346,8,0,51,0.0,150,4,0.5,6467.636090414346,1683052710,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
195818,6467.636090414346,8,0,52,0.0,151,4,0.5,6467.636090414346,1683052711,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
202514,6467.636090414346,8,0,53,0.0,152,4,0.5,6467.636090414346,1683052712,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
209228,6467.636090414346,8,0,54,0.0,153,4,0.5,6467.636090414346,1683052713,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
