_timestamp,02_timing/step_time_s,memory/total_memory_sys_MB,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_five_min_percent,01_general/minibatch_loss,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,_runtime,memory/used_memory_sys_percent,disk/counter/disk_write_sys_count,01_general/locally_processed_samples,cpu/logical_core_count,02_timing/backward_time_s,02_timing/opt_step_time_s,disk/time/disk_write_time_sys_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_step,01_general/lr,01_general/step,02_timing/loss_calc_time_s,cpu/interrupts/interrupts_count,process/memory/shared_memory_proc_MB,memory/used_memory_sys_MB,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/forward_time_s,01_general/step_based_sps,memory/available_memory_sys_MB,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB,02_timing/dataload_time_s,disk/time/disk_read_time_sys_s,01_general/dataset_iteration_count,cpu/interrupts/soft_interrupts_count,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits
1680785044.0,,,5.0,72044.0,10.5,,1.240000000000009,0.005215117000034297,1390.0,0.0,2.654208,22875.50464,108,12.9,604.0,,,,,0.6319999999996071,13.750000000000002,0.0,7.625,222,,,0.0007228829999803565,135064.0,812.249088,3489.378304,234.0,0.008172250852147428,52.08821905156631,0.024575746000095933,,27495.432192,3320.598528,3275.65312,,0.005000000000000782,,87952.0,0.0,0.03358284334085088
1680785045.0,0.3947850040000276,,,,,7.1326904296875,,,,,,,109,,,3680.0,,0.35963357799994355,2.3850000161473872e-06,,,,,223,0.0001,114.0,,,,,,,,,81.05677691850161,,,,0.004635294999957296,,0.0,,,
1680785045.0,,,5.0,72606.0,10.625,,1.2520000000000095,0.005483513999934075,1400.0,0.0,2.654208,22875.50464,109,12.9,606.0,,,,,0.6329999999998108,13.625000000000002,0.0,7.625,224,,,0.000772545000017999,136289.0,812.249088,3490.021376,236.0,0.008170680628776884,36.476152492251316,0.025576029000035305,,27494.649856,3320.598528,3275.65312,,0.005000000000000782,,88788.0,0.0,0.24456187620801134
1680785046.0,0.3949326019999262,,,,,7.31201171875,,,,,,,110,,,3712.0,,0.3586265459999822,2.2980000267125433e-06,,,,,225,0.0001,115.0,,,,,,,,,81.02648360239954,,,,0.004471669999929873,,0.0,,,
1680785046.0,,,5.0,73143.0,10.625,,1.26400000000001,0.00541520000001583,1414.0,0.0,2.654208,22875.50464,110,12.9,608.0,,,0.358520702000078,1.8810000028679497e-06,0.6349999999993088,13.625000000000002,0.0,7.625,226,,,0.0007551150000608686,137303.0,812.249088,3490.59072,239.0,0.008169458678307508,26.346536157507412,0.024405311000009533,,27494.21568,3320.598528,3275.65312,,0.005000000000000782,,89455.0,0.0,0.025146615001818043
1680785046.0,0.39344556100024874,,,,,7.347900390625,,,,,,,110,,,3744.0,,,,,,,,227,0.0001,116.0,,,,,,,,,81.33272597776181,,,,0.004347352000081628,,0.0,,,
1680785047.0,,,5.0,73709.0,10.625,,1.2719999999999914,0.005432183000039004,1425.0,0.0,2.654208,22875.50464,111,12.9,610.0,,,0.3564274479999767,2.2010000293448684e-06,0.6369999999997162,13.625000000000002,0.0,7.625,228,,,0.000735413000029439,138499.0,812.249088,3489.95584,241.0,0.008167926422683125,32.94630435314391,0.025980375000017375,,27494.7072,3320.598528,3275.65312,,0.005000000000000782,,90250.0,0.0,0.02987993396006377
1680785047.0,0.39281812000012906,,,,,7.1068115234375,,,,,,,111,,,3776.0,,,,,,,,229,0.0001,117.0,,,,,,,,,81.46263721232994,,,,0.004240500000037173,,0.0,,,
1680785048.0,,,5.0,74259.0,10.625,,1.2839999999999918,0.005516461999945932,1436.0,0.0,2.654208,22875.50464,112,12.9,614.0,,,0.3585003630000756,2.2090000584285008e-06,0.6399999999994179,13.625000000000002,0.0,7.625,230,,,0.0006620899999916219,139569.0,812.249088,3490.684928,244.0,0.044922751680907085,29.177135785198494,0.025404921000017566,,27494.244352,3320.598528,3275.65312,,0.005000000000000782,,90951.0,0.0,0.023035672382318243
1680785048.0,0.394571350000092,,,,,7.0533447265625,,,,,,,112,,,3808.0,,,,,,,,231,0.0001,118.0,,,,,,,,,81.10066785130886,,,,0.004485305000002882,,0.0,,,
