04_peers/peer_1_epoch,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/undershot_TBS,03_hivemind/optimistic_total_samples_per_second,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,_step,_runtime,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_3_samples_per_second,_timestamp,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos
1.0,1,0.0,,704.4185598218294,7.84,27136,78,132,,3,0,,0.0,3.92,232.06,8672.0,27245,1.0,1.0,,233.99,8928.0,,704.4185598218294,235.81,1680694547.0,,8704.0,,0.0
1.0,1,0.0,,707.1241460115064,6.6,27968,79,133,,3,0,,0.0,3.3,233.04,8960.0,28100,1.0,1.0,,233.85,9184.0,,707.1241460115064,237.53,1680694548.0,,8992.0,,0.0
1.0,1,0.0,,707.9924441718227,5.39,28800,80,134,,3,0,,0.0,2.7,234.65,9216.0,28951,1.0,1.0,,233.74,9472.0,,707.9924441718227,238.73,1680694549.0,,9280.0,,0.0
1.0,1,0.0,,704.6110558121383,4.22,29664,81,136,,3,0,,0.0,2.11,235.22,9504.0,29792,1.0,1.0,,233.97,9760.0,,704.6110558121383,238.8,1680694551.0,,9536.0,,0.0
1.0,1,0.0,,681.091472086813,3.24,30432,82,137,,3,0,,0.0,1.62,231.94,9792.0,30561,1.0,1.0,,233.66,10048.0,,681.091472086813,239.01,1680694552.0,,9824.0,,0.0
1.0,1,0.0,,685.6994323113929,2.03,31296,83,138,,3,0,,0.0,1.01,234.75,10080.0,31377,1.0,1.0,,234.07,10272.0,,685.6994323113929,212.27,1680694553.0,,10080.0,,0.0
1.0,1,0.0,,697.6974169516783,0.77,32096,84,139,,3,0,,0.0,0.5,223.78,10368.0,32228,1.0,1.0,,234.28,10560.0,,697.6974169516783,227.64,1680694554.0,,10368.0,,0.0
1.0,1,0.0,,701.541765746816,0.0,32832,85,140,,3,0,,0.0,0.5,230.53,10624.0,33077,1.0,1.0,,234.13,10848.0,,701.541765746816,233.03,1680694555.0,,10624.0,,0.0
1.0,1,0.0,,701.541765746816,0.0,32832,86,142,,3,0,,0.0,0.5,232.81,10880.0,33916,1.0,1.0,,233.09,11072.0,,701.541765746816,235.65,1680694557.0,,10880.0,,0.0
1.0,1,0.0,,701.541765746816,0.0,32832,87,143,,3,0,,0.0,0.5,232.81,10880.0,34760,1.0,1.0,,233.09,11072.0,,701.541765746816,235.65,1680694558.0,,10880.0,,0.0
1.0,1,0.0,,701.541765746816,0.0,32832,88,144,,3,0,,0.0,0.5,232.81,10880.0,35604,1.0,1.0,,233.09,11072.0,,701.541765746816,235.65,1680694559.0,,10880.0,,0.0
1.0,2,0.0,,696.3362375743372,46.85,32,89,145,,3,0,,0.0,10.0,232.81,10880.0,145,1.0,1.0,,233.09,11072.0,,463.530321840296,235.65,1680694560.0,,10880.0,,0.0
2.0,2,0.0,0.0,701.9335713570516,45.16,960,90,146,51.51555358991027,3,0,2.0,0.0,10.0,232.81,0.0,1070,1.0,2.0,65664.0,233.09,32.0,32832.0,701.9335713570516,230.44,1680694561.0,637.3220845370166,10880.0,0.0,1.0
2.0,2,0.0,,705.0919091104062,43.75,1792,91,148,,3,0,,0.0,10.0,231.08,320.0,1921,2.0,2.0,,234.58,320.0,,705.0919091104062,236.27,1680694563.0,,320.0,,0.0
2.0,2,0.0,,705.8310273681211,42.51,2624,92,149,,3,0,,0.0,10.0,232.22,576.0,2764,2.0,2.0,,236.1,608.0,,705.8310273681211,236.78,1680694564.0,,608.0,,0.0
2.0,2,0.0,,706.7264426230084,41.26,3488,93,150,,3,0,,0.0,10.0,232.79,864.0,3611,2.0,2.0,,236.01,896.0,,706.7264426230084,237.03,1680694565.0,,864.0,,0.0
2.0,2,0.0,,706.0481255257015,40.1,4352,94,151,,3,0,,0.0,10.0,233.03,1152.0,4454,2.0,2.0,,236.25,1184.0,,706.0481255257015,237.44,1680694566.0,,1152.0,,0.0
2.0,2,0.0,,705.1525371792976,38.96,5184,95,152,,3,0,,0.0,10.0,233.14,1440.0,5294,2.0,2.0,,235.83,1472.0,,705.1525371792976,237.08,1680694567.0,,1440.0,,0.0
2.0,2,0.0,,705.7859867790751,37.72,6016,96,154,,3,0,,0.0,10.0,233.32,1728.0,6143,2.0,2.0,,234.96,1760.0,,705.7859867790751,236.87,1680694569.0,,1696.0,,0.0
2.0,2,0.0,,704.8902046814233,36.57,6880,97,155,,3,0,,0.0,10.0,233.2,1984.0,6989,2.0,2.0,,235.56,2048.0,,704.8902046814233,237.03,1680694570.0,,1984.0,,0.0
