03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,03_hivemind/optimistic_total_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,_runtime,_timestamp,04_peers/peer_2_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/epoch_based_sps,03_hivemind/global_samples_accumulated,_step,03_hivemind/epoch_s,03_hivemind/global_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_accumulated
,0.0,1654.520295642512,,53925,,0,0.0,2,,,0.0,156,1682808967.0,0.0,0.5,,0,96,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,55613,,0,0.0,2,,,0.0,157,1682808968.0,0.0,0.5,,0,97,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,57303,,0,0.0,2,,,0.0,158,1682808969.0,0.0,0.5,,0,98,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,58993,,0,0.0,2,,,0.0,159,1682808970.0,0.0,0.5,,0,99,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,60678,,0,0.0,2,,,0.0,160,1682808971.0,0.0,0.5,,0,100,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,62369,,0,0.0,2,,,0.0,161,1682808972.0,0.0,0.5,,0,101,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,64059,,0,0.0,2,,,0.0,162,1682808973.0,0.0,0.5,,0,102,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,65747,,0,0.0,2,,,0.0,163,1682808974.0,0.0,0.5,,0,103,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,67436,,0,0.0,2,,,0.0,164,1682808975.0,0.0,0.5,,0,104,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,69123,,0,0.0,2,,,0.0,165,1682808976.0,0.0,0.5,,0,105,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,70809,,0,0.0,2,,,0.0,166,1682808977.0,0.0,0.5,,0,106,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,72489,,0,0.0,2,,,0.0,167,1682808978.0,0.0,0.5,,0,107,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,74172,,0,0.0,2,,,0.0,168,1682808979.0,0.0,0.5,,0,108,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,75858,,0,0.0,2,,,0.0,169,1682808980.0,0.0,0.5,,0,109,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,77541,,0,0.0,2,,,0.0,170,1682808981.0,0.0,0.5,,0,110,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,79232,,0,0.0,2,,,0.0,171,1682808982.0,0.0,0.5,,0,111,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,80921,,0,0.0,2,,,0.0,172,1682808983.0,0.0,0.5,,0,112,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,82621,,0,0.0,2,,,0.0,173,1682808984.0,0.0,0.5,,0,113,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,84319,,0,0.0,2,,,0.0,174,1682808985.0,0.0,0.5,,0,114,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,86003,,0,0.0,2,,,0.0,175,1682808986.0,0.0,0.5,,0,115,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,87685,,0,0.0,2,,,0.0,176,1682808987.0,0.0,0.5,,0,116,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,89371,,0,0.0,2,,,0.0,177,1682808988.0,0.0,0.5,,0,117,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,91054,,0,0.0,2,,,0.0,179,1682808990.0,0.0,0.5,,0,118,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,92740,,0,0.0,2,,,0.0,180,1682808991.0,0.0,0.5,,0,119,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,94422,,0,0.0,2,,,0.0,181,1682808992.0,0.0,0.5,,0,120,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,96110,,0,0.0,2,,,0.0,182,1682808993.0,0.0,0.5,,0,121,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,97795,,0,0.0,2,,,0.0,183,1682808994.0,0.0,0.5,,0,122,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
