04_peers/peer_1_epoch,03_hivemind/num_clients,_step,_timestamp,03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_s,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples
2.0,0,78,1680690538.0,2,,0.0,364.35,728.5279972165165,140,,0.0,0.0,16416,2,,,,8256.0,,2.0,,364.18,8160.0,728.5279972165165,0.5,19385
2.0,0,79,1680690539.0,2,,0.0,364.35,728.5279972165165,141,,0.0,0.0,16416,2,,,,8256.0,,2.0,,364.18,8160.0,728.5279972165165,0.5,20255
2.0,0,80,1680690540.0,2,,0.0,364.35,728.5279972165165,142,,0.0,0.0,16416,2,,,,8256.0,,2.0,,364.18,8160.0,728.5279972165165,0.5,21122
2.0,0,81,1680690541.0,2,,0.0,364.35,728.5279972165165,143,,0.0,0.0,16416,2,,,,8256.0,,2.0,,364.18,8160.0,728.5279972165165,0.5,21986
2.0,0,82,1680690543.0,2,,0.0,364.35,728.5279972165165,145,,0.0,0.0,16416,2,,,,8256.0,,2.0,,364.18,8160.0,728.5279972165165,0.5,22851
2.0,0,83,1680690544.0,2,,0.0,364.35,728.5279972165165,146,,0.0,0.0,16416,2,,,,8256.0,,2.0,,364.18,8160.0,728.5279972165165,0.5,23719
2.0,0,84,1680690545.0,2,,0.0,364.35,728.5279972165165,147,,0.0,0.0,16416,2,,,,8256.0,,2.0,,364.18,8160.0,728.5279972165165,0.5,24587
2.0,0,85,1680690546.0,2,,0.0,364.35,728.5279972165165,148,,0.0,0.0,16416,2,,,,8256.0,,2.0,,364.18,8160.0,728.5279972165165,0.5,25457
2.0,0,86,1680690547.0,3,,21.58,364.35,728.5279972165165,149,,0.0,0.0,0,2,,,,8256.0,,2.0,,364.18,8160.0,728.5279972165165,8.63,663
3.0,0,87,1680690549.0,3,1.0,20.39,364.35,728.5279972165165,151,35.74285660125315,0.0,0.0,0,2,459.28058249895037,49216.0,0.0,0.0,16416.0,3.0,2.0,364.18,0.0,728.5279972165165,8.15,1531
