04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,_step,04_peers/peer_1_epoch,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,_runtime,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second
0.0,,118,3.0,,3.0,,185,2,3,0.0,365.53,0.0,35653,0.0,,0.5,366.72,,,732.2527223882114,1680688373.0,0,0.0,0,,732.2527223882114
0.0,,119,3.0,,3.0,,186,2,3,0.0,365.53,0.0,36398,0.0,,0.5,366.72,,,732.2527223882114,1680688374.0,0,0.0,0,,732.2527223882114
0.0,,120,3.0,,3.0,,187,2,3,0.0,365.53,0.0,37144,0.0,,0.5,366.72,,,732.2527223882114,1680688375.0,0,0.0,0,,732.2527223882114
0.0,,121,3.0,,3.0,,188,2,3,0.0,365.53,0.0,37889,0.0,,0.5,366.72,,,732.2527223882114,1680688376.0,0,0.0,0,,732.2527223882114
0.0,,122,3.0,,3.0,,189,2,3,0.0,365.53,0.0,38637,0.0,,0.5,366.72,,,732.2527223882114,1680688377.0,0,0.0,0,,732.2527223882114
0.0,,123,3.0,,3.0,,190,2,3,0.0,365.53,0.0,39382,0.0,,0.5,366.72,,,732.2527223882114,1680688378.0,0,0.0,0,,732.2527223882114
0.0,,124,3.0,,3.0,,191,2,3,0.0,365.53,0.0,40128,0.0,,0.5,366.72,,,732.2527223882114,1680688379.0,0,0.0,0,,732.2527223882114
0.0,,125,3.0,,3.0,,192,2,3,0.0,365.53,0.0,40873,0.0,,0.5,366.72,,,732.2527223882114,1680688380.0,0,0.0,0,,732.2527223882114
0.0,,126,3.0,,3.0,,193,2,3,0.0,365.53,0.0,41617,0.0,,0.5,366.72,,,732.2527223882114,1680688381.0,0,0.0,0,,732.2527223882114
0.0,,127,3.0,,3.0,,194,2,3,0.0,365.53,0.0,42363,0.0,,0.5,366.72,,,732.2527223882114,1680688382.0,0,0.0,0,,732.2527223882114
0.0,,128,3.0,,3.0,,195,2,3,0.0,365.53,0.0,43108,0.0,,0.5,366.72,,,732.2527223882114,1680688383.0,0,0.0,0,,732.2527223882114
0.0,,129,3.0,,3.0,,197,2,3,0.0,365.53,0.0,43856,0.0,,0.5,366.72,,,732.2527223882114,1680688385.0,0,0.0,0,,732.2527223882114
