_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
48,31,,,1681392656.0,2.796875,0.0,0.2560000000000855,11668.54144,0.028491789234143028,60782.0,0.4285533969982939,5096.042496,260.0,12408.160256,0.0,0.0,0.0,14.84375,122089.0,54.15320860446119,230106.3168,2.854912,900.0,0.1289999999999054,12514.402304,0.0,1637628.0,9.9,4.90625,45687.300096,1488.0,,0.0012229299172759056,0.026220211759209633,,,,0.041627430357038975,,,,,0.002009328920394182,,
49,31,,,1681392656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.008419446181505919,608.0,12.679301261901855,,0.08094274206086993,0.0,0.0001,0.0014433949254453182,,0.0,18.0
50,32,,,1681392657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0013922741636633873,0.026777916122227907,0.0066220019944012165,640.0,12.707377433776855,0.040968244429677725,0.0789041337557137,0.0,0.0001,0.0012160497717559338,0.0019276472739875317,0.0,19.0
51,32,,,1681392657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0012211799621582031,0.02616437105461955,0.005050693638622761,672.0,12.711793899536133,0.043123915791511536,0.07902860548347235,0.0,0.0001,0.0014659259468317032,0.002002519089728594,0.0,20.0
52,32,,,1681392657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0013159518130123615,0.026521810330450535,0.007736600004136562,704.0,12.632187843322754,0.04100444493815303,0.07968537183478475,0.0,0.0001,0.0012975609861314297,0.0018090037629008293,0.0,21.0
53,32,,,1681392657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0013351831585168839,0.029078012332320213,0.006491158623248339,736.0,12.68956184387207,0.04099587397649884,0.08131773164495826,0.0,0.0001,0.0014804867096245289,0.0019370168447494507,0.0,22.0
54,32,,,1681392657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0013312031514942646,0.027567164972424507,0.008173219859600067,768.0,12.675843238830566,0.04080684017390013,0.08108196593821049,0.0,0.0001,0.0012588407844305038,0.0019446969963610172,0.0,23.0
55,32,,,1681392657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0012903017923235893,0.02743994165211916,0.007060423027724028,800.0,12.603171348571777,0.040991665329784155,0.08010255312547088,0.0,0.0001,0.0014165141619741917,0.0019037071615457535,0.0,24.0
56,32,,,1681392657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0014439751394093037,0.02851511910557747,0.006250242702662945,832.0,12.715356826782227,0.041661879979074,0.08016015263274312,0.0,0.0001,0.0012831520289182663,0.0010057836771011353,0.0,25.0
57,32,,,1681392657.0,2.796875,0.0,0.3040000000000873,11669.426176,0.1223129220858981,69572.0,0.28697350841738356,5096.0384,276.0,12408.233984,0.0,0.0,0.0,14.84375,125963.0,51.272939900066746,230105.7024,2.854912,1204.0,0.13799999999991996,12514.4064,0.0,1644008.0,9.9,4.90625,45687.300096,1555.0,,0.0013001817278563976,0.03832503920421004,0.008694362826645374,,,0.04049675213173032,,,,,0.001993178855627775,,
