03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,_step,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,_runtime,03_hivemind/global_samples_accumulated,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,04_peers/peer_1_samples_per_second
1,,727.5273561806199,1680693163.0,1.0,1.0,,0.0,,,6656.0,25.61,6496.0,10.0,2,0,,,727.5273561806199,63,0.0,14134,121,14048,363.97,,360.89
1,,727.7434527305022,1680693164.0,1.0,1.0,,0.0,,,7104.0,24.42,6944.0,9.77,2,0,,,727.7434527305022,64,0.0,14999,122,14880,364.69,,362.83
1,,727.7673025213454,1680693165.0,1.0,1.0,,0.0,,,7520.0,23.22,7360.0,9.29,2,0,,,727.7673025213454,65,0.0,15866,123,15776,365.52,,362.23
1,,727.9297575507178,1680693167.0,1.0,1.0,,0.0,,,7968.0,22.03,7808.0,8.81,2,0,,,727.9297575507178,66,0.0,16730,125,16640,365.34,,362.43
1,,728.2240772316864,1680693168.0,1.0,1.0,,0.0,,,8384.0,20.84,8256.0,8.34,2,0,,,728.2240772316864,67,0.0,17592,126,17504,365.49,,362.44
1,,726.9746407766745,1680693169.0,1.0,1.0,,0.0,,,8832.0,19.69,8672.0,7.88,2,0,,,726.9746407766745,68,0.0,18453,127,18368,365.55,,362.67
1,,725.1268774950823,1680693170.0,1.0,1.0,,0.0,,,9248.0,18.55,9120.0,7.42,2,0,,,725.1268774950823,69,0.0,19316,128,19232,364.39,,362.59
1,,725.784458293142,1680693171.0,1.0,1.0,,0.0,,,9696.0,17.34,9536.0,6.94,2,0,,,725.784458293142,70,0.0,20179,129,20096,364.84,,360.28
1,,726.1187878340739,1680693173.0,1.0,1.0,,0.0,,,10112.0,16.15,9984.0,6.46,2,0,,,726.1187878340739,71,0.0,21044,131,20928,364.73,,361.05
1,,725.8973291282143,1680693174.0,1.0,1.0,,0.0,,,10528.0,14.96,10400.0,5.98,2,0,,,725.8973291282143,72,0.0,21907,132,21824,363.99,,362.12
1,,726.8728811020123,1680693175.0,1.0,1.0,,0.0,,,10976.0,13.75,10848.0,5.5,2,0,,,726.8728811020123,73,0.0,22771,133,22656,363.63,,362.27
1,,726.6527359305619,1680693176.0,1.0,1.0,,0.0,,,11392.0,12.57,11264.0,5.03,2,0,,,726.6527359305619,74,0.0,23637,134,23552,363.83,,363.05
1,,725.2834395924225,1680693177.0,1.0,1.0,,0.0,,,11840.0,11.4,11712.0,4.56,2,0,,,725.2834395924225,75,0.0,24501,135,24384,363.84,,362.82
1,,712.7031820433735,1680693179.0,1.0,1.0,,0.0,,,12256.0,10.41,12128.0,4.17,2,0,,,712.7031820433735,76,0.0,25346,137,25248,363.48,,361.81
1,,588.3138405301416,1680693180.0,1.0,1.0,,0.0,,,12704.0,11.57,12544.0,4.63,2,0,,,588.3138405301416,77,0.0,25962,138,25888,350.61,,362.1
1,,681.9693938514474,1680693181.0,1.0,1.0,,0.0,,,12896.0,8.69,12992.0,3.48,2,0,,,681.9693938514474,78,0.0,26841,139,26752,360.3,,228.01
1,,705.3517822607253,1680693182.0,1.0,1.0,,0.0,,,13344.0,7.19,13408.0,2.88,2,0,,,705.3517822607253,79,0.0,27695,140,27456,362.39,,319.58
1,,656.6331922755879,1680693183.0,1.0,1.0,,0.0,,,13600.0,6.74,13856.0,2.7,2,0,,,656.6331922755879,80,0.0,28340,141,28256,363.05,,342.3
1,,704.4537828654034,1680693184.0,1.0,1.0,,0.0,,,13984.0,5.06,14272.0,2.02,2,0,,,704.4537828654034,81,0.0,29206,142,29120,363.12,,293.52
1,,720.4915479286403,1680693186.0,1.0,1.0,,0.0,,,14400.0,3.74,14720.0,1.5,2,0,,,720.4915479286403,82,0.0,30070,144,29984,362.67,,341.79
1,,723.0599857141783,1680693187.0,1.0,1.0,,0.0,,,14848.0,2.54,15136.0,1.02,2,0,,,723.0599857141783,83,0.0,30928,145,30848,363.32,,357.17
1,,723.8350557561496,1680693188.0,1.0,1.0,,0.0,,,15264.0,1.36,15584.0,0.54,2,0,,,723.8350557561496,84,0.0,31787,146,31680,362.73,,360.33
1,,723.9813311784847,1680693189.0,1.0,1.0,,0.0,,,15680.0,0.17,16000.0,0.5,2,0,,,723.9813311784847,85,0.0,32647,147,32544,362.33,,361.51
