03_hivemind/epoch_based_sps,04_peers/peer_1_samples_accumulated,03_hivemind/num_peers,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/global_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_step,_timestamp,03_hivemind/overshot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_1_samples_per_second,_runtime,03_hivemind/reached_TBS
,8032.0,2,2.0,0.0,237.55,2,,0.0,0.5,,0,16416,2.0,0.0,,16682,,472.2594992880653,472.2594992880653,96,1680689182.0,,8000.0,235.4,155,
,8224.0,2,2.0,0.0,237.36,2,,0.0,0.5,,0,16416,2.0,0.0,,17244,,472.2594992880653,472.2594992880653,97,1680689183.0,,8192.0,234.9,156,
,8224.0,2,2.0,0.0,237.36,2,,0.0,0.5,,0,16416,2.0,0.0,,17803,,472.2594992880653,472.2594992880653,98,1680689184.0,,8192.0,234.9,157,
,8224.0,2,2.0,0.0,237.36,2,,0.0,0.5,,0,16416,2.0,0.0,,18364,,472.2594992880653,472.2594992880653,99,1680689186.0,,8192.0,234.9,159,
,8224.0,2,2.0,0.0,237.36,2,,0.0,0.5,,0,16416,2.0,0.0,,18925,,472.2594992880653,472.2594992880653,100,1680689187.0,,8192.0,234.9,160,
,8224.0,2,2.0,0.0,237.36,2,,0.0,0.5,,0,16416,2.0,0.0,,19486,,472.2594992880653,472.2594992880653,101,1680689188.0,,8192.0,234.9,161,
,8224.0,2,2.0,0.0,237.36,3,,0.0,10.0,,0,0,2.0,33.62,,507,,472.2594992880653,472.2594992880653,102,1680689189.0,,8192.0,234.9,162,
383.4956022287401,0.0,2,3.0,0.0,237.36,3,0.0,0.0,10.0,42.80622751498595,0,0,3.0,32.43,49280.0,1068,16416.0,472.2594992880653,472.2594992880653,103,1680689190.0,3.0,0.0,234.9,163,0.0
,0.0,2,3.0,0.0,237.36,3,,0.0,10.0,,0,0,3.0,31.25,,1626,,472.2594992880653,472.2594992880653,104,1680689191.0,,0.0,234.9,164,
,0.0,2,3.0,0.0,237.36,3,,0.0,10.0,,0,0,3.0,30.06,,2187,,472.2594992880653,472.2594992880653,105,1680689193.0,,0.0,234.9,166,
,0.0,2,3.0,0.0,237.36,3,,0.0,10.0,,0,0,3.0,26.04,,4089,,472.2594992880653,472.2594992880653,106,1680689197.0,,0.0,234.9,170,
,0.0,2,3.0,0.0,237.36,3,,0.0,10.0,,0,0,3.0,25.02,,4570,,472.2594992880653,472.2594992880653,107,1680689198.0,,0.0,234.9,171,
,0.0,2,3.0,0.0,237.36,3,,0.0,9.6,,0,0,3.0,24.0,,5051,,472.2594992880653,472.2594992880653,108,1680689199.0,,0.0,234.9,172,
,0.0,2,3.0,0.0,237.36,3,,0.0,9.19,,0,0,3.0,22.98,,5533,,472.2594992880653,472.2594992880653,109,1680689200.0,,0.0,234.9,173,
,0.0,2,3.0,0.0,237.36,3,,0.0,8.78,,0,0,3.0,21.96,,6015,,472.2594992880653,472.2594992880653,110,1680689201.0,,0.0,234.9,174,
,0.0,2,3.0,0.0,237.36,3,,0.0,8.37,,0,0,3.0,20.94,,6497,,472.2594992880653,472.2594992880653,111,1680689202.0,,0.0,234.9,175,
,0.0,2,3.0,0.0,237.36,3,,0.0,7.97,,0,0,3.0,19.92,,6978,,472.2594992880653,472.2594992880653,112,1680689203.0,,0.0,234.9,176,
,0.0,2,3.0,0.0,237.36,3,,0.0,7.56,,0,0,3.0,18.9,,7458,,472.2594992880653,472.2594992880653,113,1680689204.0,,0.0,234.9,177,
,0.0,2,3.0,0.0,237.36,3,,0.0,7.15,,0,0,3.0,17.88,,7939,,472.2594992880653,472.2594992880653,114,1680689205.0,,0.0,234.9,178,
,0.0,2,3.0,0.0,237.36,3,,0.0,6.75,,0,0,3.0,16.86,,8420,,472.2594992880653,472.2594992880653,115,1680689206.0,,0.0,234.9,179,
,0.0,2,3.0,0.0,237.36,3,,0.0,6.34,,0,0,3.0,15.84,,8903,,472.2594992880653,472.2594992880653,116,1680689207.0,,0.0,234.9,180,
,0.0,2,3.0,0.0,237.36,3,,0.0,5.93,,0,0,3.0,14.82,,9385,,472.2594992880653,472.2594992880653,117,1680689208.0,,0.0,234.9,181,
,0.0,2,3.0,0.0,237.36,3,,0.0,5.52,,0,0,3.0,13.8,,9867,,472.2594992880653,472.2594992880653,118,1680689209.0,,0.0,234.9,182,
,0.0,2,3.0,0.0,237.36,3,,0.0,5.11,,0,0,3.0,12.78,,10347,,472.2594992880653,472.2594992880653,119,1680689210.0,,0.0,234.9,183,
,0.0,2,3.0,0.0,237.36,3,,0.0,4.7,,0,0,3.0,11.76,,10832,,472.2594992880653,472.2594992880653,120,1680689211.0,,0.0,234.9,184,
,0.0,2,3.0,0.0,237.36,3,,0.0,4.29,,0,0,3.0,10.74,,11314,,472.2594992880653,472.2594992880653,121,1680689212.0,,0.0,234.9,185,
,0.0,2,3.0,0.0,237.36,3,,0.0,3.89,,0,0,3.0,9.71,,11796,,472.2594992880653,472.2594992880653,122,1680689213.0,,0.0,234.9,186,
,0.0,2,3.0,0.0,237.36,3,,0.0,3.48,,0,0,3.0,8.69,,12278,,472.2594992880653,472.2594992880653,123,1680689214.0,,0.0,234.9,187,
,0.0,2,3.0,0.0,237.36,3,,0.0,3.07,,0,0,3.0,7.67,,12760,,472.2594992880653,472.2594992880653,124,1680689215.0,,0.0,234.9,188,
,0.0,2,3.0,0.0,237.36,3,,0.0,2.66,,0,0,3.0,6.65,,13244,,472.2594992880653,472.2594992880653,125,1680689216.0,,0.0,234.9,189,
,0.0,2,3.0,0.0,237.36,3,,0.0,2.25,,0,0,3.0,5.63,,13727,,472.2594992880653,472.2594992880653,126,1680689217.0,,0.0,234.9,190,
,0.0,2,3.0,0.0,237.36,3,,0.0,1.84,,0,0,3.0,4.61,,14207,,472.2594992880653,472.2594992880653,127,1680689218.0,,0.0,234.9,191,
,0.0,2,3.0,0.0,237.36,3,,0.0,1.44,,0,0,3.0,3.59,,14688,,472.2594992880653,472.2594992880653,128,1680689219.0,,0.0,234.9,192,
,0.0,2,3.0,0.0,237.36,3,,0.0,1.03,,0,0,3.0,2.57,,15169,,472.2594992880653,472.2594992880653,129,1680689220.0,,0.0,234.9,193,
,0.0,2,3.0,0.0,237.36,3,,0.0,0.62,,0,0,3.0,1.55,,15651,,472.2594992880653,472.2594992880653,130,1680689221.0,,0.0,234.9,194,
,0.0,2,3.0,0.0,237.36,3,,0.0,0.5,,0,0,3.0,0.53,,16132,,472.2594992880653,472.2594992880653,131,1680689222.0,,0.0,234.9,195,
,0.0,2,3.0,0.0,237.36,3,,0.0,0.5,,0,0,3.0,0.0,,16613,,472.2594992880653,472.2594992880653,132,1680689223.0,,0.0,234.9,196,
,0.0,2,3.0,0.0,237.36,3,,0.0,0.5,,0,0,3.0,0.0,,17093,,472.2594992880653,472.2594992880653,133,1680689224.0,,0.0,234.9,197,
,0.0,2,3.0,0.0,237.36,3,,0.0,0.5,,0,0,3.0,0.0,,17574,,472.2594992880653,472.2594992880653,134,1680689225.0,,0.0,234.9,198,
,0.0,2,3.0,0.0,237.36,3,,0.0,0.5,,0,0,3.0,0.0,,18055,,472.2594992880653,472.2594992880653,135,1680689226.0,,0.0,234.9,199,
,0.0,2,3.0,0.0,237.36,3,,0.0,0.5,,0,0,3.0,0.0,,18535,,472.2594992880653,472.2594992880653,136,1680689227.0,,0.0,234.9,200,
,0.0,2,3.0,0.0,237.36,3,,0.0,0.5,,0,0,3.0,0.0,,19016,,472.2594992880653,472.2594992880653,137,1680689228.0,,0.0,234.9,201,
