memory/used_memory_sys_MB,memory/total_memory_sys_MB,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/resident_set_size_proc_MB,01_general/lr,03_hivemind/global_epoch,process/memory/virtual_memory_size_proc_MB,memory/used_memory_sys_percent,disk/counter/disk_read_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/minibatch_loss,memory/available_memory_sys_MB,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,process/memory/text_resident_set_proc_MB,01_general/step,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,_runtime,02_timing/backward_time_s,cpu/logical_core_count,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/step_time_s,02_timing/opt_step_time_s,process/voluntary_proc_ctx_switches,_step,02_timing/dataload_time_s,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/num_peers,01_general/locally_processed_samples
,,,0.0,,,0.0001,2.0,,,,,7.13134765625,,,,,,,288.0,,,,,,273,0.14363153400017836,,,,,,,1681395610.0,0.20904103099974236,0.04024222499992902,,561,0.003176414999870758,,,,,,9.0,9225.0
,,,0.0,,,0.0001,2.0,,,,,7.3260498046875,,,,,,,289.0,0.025572449999799574,,,,,273,0.1380330430001777,,,,,,,1681395610.0,0.2129809469997781,0.040226884999810864,,562,0.005151703000137786,,0.0007382600001619721,0.0032586059996901895,,,9.0,9257.0
,,,0.0,,,0.0001,2.0,,,,,7.007568359375,,,,,,,290.0,0.026050381000004563,,,,,274,0.13359418900017772,,,,,,,1681395611.0,0.209419748000073,0.04050330599966401,,563,0.005051295000157552,,0.0009954080001080001,0.00322516899996117,,,9.0,9289.0
10094.952448,,3164542.0,,87.03511292254193,6782.083072,,,34595.352576,6.4,2.0,0.0,,197554.294784,2.7959999999999923,2453.577728,4723.0,0.0,2.719744,,,0.0009999999999998899,0.8650000000000091,0.0,0.016340354859855296,274,,,3991610.0,1409.0,7220.600832,1258419.0,1.9397708655413428,1681395611.0,,,6344.0,564,,2.0666666666666664,,0.0032046119999904477,3.833333333333333,1.633333333333333,,
,,,0.0,,,0.0001,2.0,,,,,7.2896728515625,,,,,,,291.0,0.01951651799981846,,,,,274,0.1417472230000385,,,,,,,1681395611.0,0.20802181199996994,0.040130377999958,,565,0.0029399380000540987,,0.0004831430001104309,,,,9.0,9321.0
,,,0.0,,,0.0001,2.0,,,,,7.092529296875,,,,,,,292.0,0.01753781900015383,,,,,274,0.14450224599977446,,,,,,,1681395611.0,0.20909080100045685,0.0401098830002411,,566,0.002963917000215588,,0.0008012180001060187,0.0031757179999658547,,,9.0,9353.0
10093.436928,,3170822.0,,102.95266999342682,6782.087168,,,34595.34848,6.4,2.0,0.0,,197536.980992,2.8119999999999976,2453.577728,4823.0,0.0,2.719744,,0.017791614000088884,0.0009999999999998899,0.867999999999995,0.0,0.049038345444258495,275,0.1447274209999705,,3995993.0,1414.0,7220.600832,1263512.0,2.2853832426646283,1681395612.0,,0.04041017700001248,6403.0,567,,2.0666666666666664,0.0005647709999720973,0.00303319000022384,3.833333333333333,1.633333333333333,,
,,,0.0,,,0.0001,2.0,,,,,7.12548828125,,,,,,,293.0,,,,,,275,,,,,,,,1681395612.0,0.20930034600041836,,,568,0.002773173000150564,,,,,,9.0,9385.0
,,,0.0,,,0.0001,2.0,,,,,7.3797607421875,,,,,,,294.0,0.017605225999886898,,,,,275,0.14349198899981275,,,,,,,1681395612.0,0.2078110090001246,0.04021471100031704,,569,0.0028927090002071054,,0.0004556009998850641,0.0031507730000157608,,,9.0,9417.0
,,,0.0,,,0.0001,2.0,,,,,7.354248046875,,,,,,,295.0,0.025164889999814477,,,,,275,0.13618856399989454,,,,,,,1681395612.0,0.2113068009998642,0.04034936400012157,,570,0.005656321000060416,,0.0007411030001094332,0.0032065589998637734,,,9.0,9449.0
