_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,01_general/step_based_sps,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
51,18,,,1682877621.0,3.6333333333333337,0.0,0.24399999999999977,4951.891968,0.06947983131232545,40631.0,0.15554733375169194,868.380672,158.0,3838.435328,0.0,0.0,0.0,2.833333333333333,67738.0,94.10547437083798,204091.977728,2.719744,549.0,0.06099999999997863,5582.188544,0.0,68663.0,3.3,4.066666666666666,27585.388544,116.0,0.0024707459999717685,0.00043940699993072485,0.016528931000038938,1.627000074222451e-06,0.14352746899999147,,,,,,,,
52,18,,,1682877621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0510525560377,1088.0,7.3065185546875,0.16575926199993773,0.0001,0.0027910819999306113,0.0,33.0
53,19,,,1682877622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025531010001031973,0.00041339599988532427,0.016390795999996044,1.5919999896141235e-06,0.1429820959999688,193.63447128303198,1120.0,7.2327880859375,0.16525983099995756,0.0001,0.0029188500000145723,0.0,34.0
54,19,,,1682877622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002424295000082566,0.0004155780000019149,0.01666712499991263,1.5489999896090012e-06,0.1447423259999141,191.4526995287066,1152.0,7.4508056640625,0.16714311199984877,0.0001,0.002892238999947949,0.0,35.0
55,19,,,1682877622.0,3.6333333333333337,0.0,0.2639999999999958,4951.166976,0.14304208353639308,42250.0,0.07925585086021136,868.352,180.0,3838.410752,0.0,0.0,0.0,2.8666666666666667,71422.0,87.29741018905325,204092.706816,2.719744,571.0,0.06999999999999318,5582.188544,0.0,71488.0,3.3,4.066666666666666,27585.388544,117.0,0.0024179679999178916,0.0004127349998270802,0.01641083599997728,1.5279999843187397e-06,0.14370720800002346,,,,,,,,
56,19,,,1682877622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.15580998547506,1184.0,7.239013671875,0.16566936299977897,0.0001,0.0027190880000489415,0.0,36.0
57,20,,,1682877623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023840859998927044,0.00042119399995499407,0.016505496000036146,1.3579999631474493e-06,0.14312390800000685,193.57818994216177,1216.0,7.2830810546875,0.16530787900001087,0.0001,0.0028718370001570293,0.0,37.0
58,20,,,1682877623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023668420001285995,0.0004162620000442985,0.016444178000028842,1.2660000265896088e-06,0.1420306840000194,195.14613863136165,1248.0,7.1185302734375,0.1639796730000853,0.0001,0.0027204409998375922,0.0,38.0
59,20,,,1682877623.0,3.6333333333333337,0.0,0.28000000000000114,4950.417408,0.01634829672517844,45088.0,0.15463030069294895,868.380672,184.0,3838.439424,0.0,0.0,0.0,2.8666666666666667,74278.0,86.94466431433169,204093.448192,2.719744,596.0,0.07099999999996953,5582.196736,0.0,73766.0,3.3,4.066666666666666,27585.388544,118.0,0.002404920000117272,0.000411662000033175,0.016485849999980928,1.618999931451981e-06,0.1442154159999518,,,,,,,,
60,20,,,1682877623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.45628151089394,1280.0,7.2841796875,0.16627152799992473,0.0001,0.0027520609999100998,0.0,39.0
