disk/time/disk_write_time_sys_s,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,cpu/logical_core_count,02_timing/backward_time_s,02_timing/opt_step_time_s,memory/available_memory_sys_MB,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,_timestamp,02_timing/forward_time_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/interrupts_count,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_one_min_percent,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,03_hivemind/global_epoch,memory/used_memory_sys_MB,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,01_general/minibatch_loss,memory/total_memory_sys_MB,memory/used_memory_sys_percent,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/dataload_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,process/memory/dirty_pages_proc_count,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,01_general/step,02_timing/loss_calc_time_s,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,03_hivemind/num_peers,process/memory/shared_memory_proc_MB,process/memory/virtual_memory_size_proc_MB,_step,_runtime,01_general/lr,02_timing/step_time_s
,0.0,,,,0.1433820669999477,0.04033550800068042,,,,1681398918.0,0.016647465999994893,0.003140114000416361,,,,,17758.0,,,,2.0,,,,7.2489013671875,,,,0.0030823130000499077,,,,,,554.0,0.00041287900057795923,,,3.0,,,885,331,0.0001,0.20700034700166725
0.8500000000000227,,0.0,0.06946818026353366,,,,198286.053376,0.37667173340268245,3.5000000000000004,1681398918.0,,0.0031680209995101904,2.7,3753799.0,2835015.0,1677.0,,4.333333333333334,6285.754368,2.719744,,9382.559744,421.0,6731.743232,,,6.1,103.67738019222142,,4.403999999999996,0.04899999999999949,0.0,4670.0,0.0,,,10709.0,1349733.0,,2454.2208,34173.812736,886,331,,
,0.0,,,,0.14275864100000035,0.040461581999807095,,,,1681398918.0,0.017655260000537965,,,,,,17790.0,,,,2.0,,,,7.2899169921875,,,,0.002845633999640995,,,,,,555.0,0.00041361300009157276,,,3.0,,,887,331,0.0001,0.20730275099958817
,0.0,,,,0.14663969299999735,0.04010338199987018,,,,1681398919.0,0.017045616000359587,0.0031518859996140236,,,,,17822.0,,,,2.0,,,,7.0943603515625,,,,0.0030784420005147695,,,,,,556.0,0.0004619569999704254,,,3.0,,,888,332,0.0001,0.21048097600032634
0.8509999999999991,,0.0,0.01226095418829803,,0.14496640600009414,0.04023704900009761,198268.547072,0.356397840311702,3.5000000000000004,1681398919.0,0.016541958999368944,0.003137474000141083,2.7,3756967.0,2837670.0,1680.0,,4.333333333333334,6285.754368,2.719744,,9380.712448,421.0,6731.743232,,,6.1,104.58089437070281,,4.415999999999997,0.04899999999999949,0.0,4797.0,0.0,,0.00039349500002572313,10769.0,1353216.0,,2454.2208,34173.812736,889,332,,
,0.0,,,,,,,,,1681398919.0,,,,,,,17854.0,,,,2.0,,,,7.2442626953125,,,,0.0028800850004699896,,,,,,557.0,,,,3.0,,,890,332,0.0001,0.2081564680001975
,0.0,,,,0.14327818899982958,0.040209131000665366,,,,1681398919.0,0.016565179999815882,0.003168802000800497,,,,,17886.0,,,,2.0,,,,7.4078369140625,,,,0.002625408999847423,,,,,,558.0,0.0003936240000257385,,,3.0,,,891,332,0.0001,0.2062403350009845
,0.0,,,,0.1450524290003159,0.04055515599975479,,,,1681398920.0,0.01722753899957752,0.003124012000625953,,,,,17918.0,,,,2.0,,,,7.1270751953125,,,,0.003020156000275165,,,,,,559.0,0.0004361040000731009,,,3.0,,,892,333,0.0001,0.20941539600062242
0.8520000000000891,,0.0,0.01634823060829952,,0.14545257500049047,0.04012607999993634,198267.57632,0.3552227841346144,3.5000000000000004,1681398920.0,0.017639773999690078,0.00319272200067644,2.7,3761407.0,2840793.0,1684.0,,4.333333333333334,6285.815808,2.719744,,9381.134336,421.0,6731.743232,,,6.1,122.91326180242554,,4.435999999999979,0.04899999999999949,0.0,4924.0,0.0,,0.0003973140001107822,10833.0,1358781.0,,2454.28224,34173.812736,893,333,,
,0.0,,,,,,,,,1681398920.0,,,,,,,17950.0,,,,2.0,,,,7.0997314453125,,,,0.0025815729995883885,,,,,,560.0,,,,3.0,,,894,333,0.0001,0.2093900380004925
