cpu/load/avg_sys_load_one_min_percent,03_hivemind/num_peers,02_timing/backward_time_s,02_timing/dataload_time_s,disk/time/disk_write_time_sys_s,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,01_general/locally_processed_samples,01_general/step,02_timing/step_time_s,memory/used_memory_sys_MB,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,cpu/load/avg_sys_load_fifteen_min_percent,_step,memory/available_memory_sys_MB,disk/counter/disk_read_sys_count,process/voluntary_proc_ctx_switches,_timestamp,disk/time/disk_read_time_sys_s,process/memory/lib_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,01_general/lr,02_timing/opt_step_time_s,disk/time/disk_busy_time_sys_s,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,03_hivemind/global_epoch,01_general/minibatch_loss,memory/total_memory_sys_MB,process/memory/virtual_memory_size_proc_MB,_runtime,cpu/logical_core_count,02_timing/forward_time_s,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB
,6.0,0.11454012500053068,0.0013682280005014036,,,0.008029001000068092,5088.0,158.0,0.17475026600277488,,0.0,,,,0.000979317000201263,,,,225,,,,1681080429.0,,,,,0.0001,0.017118672000833612,,,,,,0.0,12.662677764892578,,,67,,0.03271492300063983,,,,
,6.0,0.11705158200038568,0.0014797160001762677,,,0.00797839799997746,5120.0,159.0,0.17460314400068455,,0.0,,,,0.0010221840002486715,,,,226,,,,1681080430.0,,,,,0.0001,0.01692643699971086,,,,,,0.0,12.744405746459961,,,68,,0.030144827000185614,,,,
,6.0,0.1167372570007501,0.0013871490000383346,,,0.008042919999752485,5152.0,160.0,0.17418905600061407,,0.0,,,,0.001187083999866445,,,,227,,,,1681080430.0,,,,,0.0001,0.01727109700004803,,,,,,0.0,12.723101615905762,,,68,,0.029563549000158673,,,,
15.75,,,,0.5,284580.0,0.007465257999683672,,,,10689.974272,,5078.839296,169.0,0.0,0.0008965600000010454,49.6,333010.0,7.75,228,15898.857472,0.0,4568.0,1681080430.0,0.0,7812.571136,32.18926806358511,11.125,,,1.1999999999999886,477.0,134625.0,1.6620185155085911,2.654208,,,,36859.43296,68,,0.03073931799917773,0.0,0.0,0.04086289676224394,11971.313664
,6.0,0.10909795799943822,0.0010476659999767435,,,,5184.0,161.0,0.16672482499870966,,0.0,,,,,,,,229,,,,1681080430.0,,,,,0.0001,0.017478065000432252,,,,,,0.0,12.887104034423828,,,68,,,,,,
,6.0,0.11639233700043405,0.0010828419999597827,,,0.008078806999947119,5216.0,162.0,0.17778108400125348,,0.0,,,,0.0010037699994427385,,,,230,,,,1681080430.0,,,,,0.0001,0.017331409000689746,,,,,,0.0,12.561655044555664,,,68,,0.033891919000780035,,,,
,6.0,0.11587082799997006,0.00581125900043844,,,0.00824479400034761,5248.0,163.0,0.18037641600039933,,0.0,,,,0.0011191730000064126,,,,231,,,,1681080431.0,,,,,0.0001,0.01720024599944736,,,,,,0.0,12.608603477478027,,,69,,0.032130116000189446,,,,
,6.0,0.11641276499995001,0.0011340219998601242,,,0.007919378000224242,5280.0,164.0,0.1750900269998965,,0.0,,,,0.0011027109994756756,,,,232,,,,1681080431.0,,,,,0.0001,0.017251610000130313,,,,,,0.0,12.628026962280273,,,69,,0.03126954100025614,,,,
16.5,,,,0.5039999999999054,290592.0,,,,,10689.019904,,5078.8352,169.0,0.0,,49.6,338453.0,7.875,233,15899.836416,0.0,4658.0,1681080431.0,0.0,7812.583424,34.02145794109486,11.375,,,1.2199999999999989,482.0,137473.0,2.07332095966747,2.654208,,,,36859.43296,69,,,0.0,0.0,0.020430738891206092,11971.309568
,6.0,0.11416330500014737,0.00115894999999,,,0.008077485000285378,5312.0,165.0,0.17358974800026772,,0.0,,,,0.0010360380001657177,,,,234,,,,1681080431.0,,,,,0.0001,0.017179235999719822,,,,,,0.0,12.503652572631836,,,69,,0.031974733999959426,,,,
,6.0,0.10912434400052007,0.001148758999988786,,,0.007982052999977896,5344.0,166.0,0.1735406679999869,,0.0,,,,0.0011438809997343924,,,,235,,,,1681080431.0,,,,,0.0001,0.017030172999511706,,,,,,0.0,12.695542335510254,,,69,,0.03711145800025406,,,,
,6.0,0.11603709299924958,0.0014565999999831547,,,0.008082321000074444,5376.0,167.0,0.17464545899929362,,0.0,,,,0.0010369430001446744,,,,236,,,,1681080432.0,,,,,0.0001,0.017129638999904273,,,,,,0.0,12.68576431274414,,,70,,0.030902862999937497,,,,
16.5,,0.11528078299943445,,0.5090000000000146,296866.0,0.008059167000283196,,,,10688.774144,,5078.8352,170.0,0.0,0.0010289510000802693,49.6,343909.0,7.875,237,15899.877376,0.0,4744.0,1681080432.0,0.0,7812.58752,29.910893539312855,11.375,,0.017016302999763866,1.2520000000000095,489.0,140194.0,1.8191314777591125,2.654208,,,,36859.43296,70,,0.03151424899988342,0.0,0.0,0.1103306872664682,11971.309568
,6.0,,0.0013734979993387242,,,,5408.0,168.0,0.17427295099878393,,0.0,,,,,,,,238,,,,1681080432.0,,,,,0.0001,,,,,,,0.0,12.73705005645752,,,70,,,,,,
