03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_1_epoch,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/optimistic_total_samples_per_second,_step,_runtime,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated
,,3.0,0.0,16864,,0.0,7744.0,0,,523.88,533.7,16971,,,1683037599.0,2,3,5.94,1063.3065236090158,96,154,1063.3065236090158,,3.0,14.86,7840.0
,,3.0,0.0,18080,,0.0,8384.0,0,,527.84,535.47,18229,,,1683037601.0,2,3,5.49,1059.7010738236754,97,156,1059.7010738236754,,3.0,13.72,8480.0
,,3.0,0.0,19360,,0.0,8992.0,0,,527.07,532.63,19491,,,1683037602.0,2,3,5.02,1058.7895224075626,98,157,1058.7895224075626,,3.0,12.54,9088.0
,,3.0,0.0,20608,,0.0,9632.0,0,,526.27,532.52,20749,,,1683037603.0,2,3,4.53,1061.0577544269427,99,158,1061.0577544269427,,3.0,11.33,9728.0
,,3.0,0.0,21888,,0.0,10240.0,0,,526.22,534.84,22004,,,1683037604.0,2,3,4.07,1057.8153283521635,100,159,1057.8153283521635,,3.0,10.18,10368.0
,,3.0,0.0,23136,,0.0,10880.0,0,,522.24,535.57,23276,,,1683037605.0,2,3,3.57,1064.8161163497919,101,160,1064.8161163497919,,3.0,8.91,11008.0
,,3.0,0.0,24416,,0.0,11488.0,0,,528.32,536.49,24543,,,1683037607.0,2,3,3.08,1067.356659111981,102,162,1067.356659111981,,3.0,7.71,11648.0
,,3.0,0.0,25696,,0.0,12128.0,0,,530.27,537.09,25804,,,1683037608.0,2,3,2.62,1062.5695380895618,103,163,1062.5695380895618,,3.0,6.55,12288.0
,,3.0,0.0,26944,,0.0,12768.0,0,,531.23,531.34,27072,,,1683037609.0,2,3,2.13,1068.7665090745772,104,164,1068.7665090745772,,3.0,5.33,12928.0
,,3.0,0.0,28192,,0.0,13376.0,0,,533.83,534.93,28341,,,1683037610.0,2,3,1.66,1066.5836076205335,105,165,1066.5836076205335,,3.0,4.15,13568.0
,,3.0,0.0,29472,,0.0,14016.0,0,,531.82,534.76,29608,,,1683037611.0,2,3,1.18,1068.5920012060237,106,166,1068.5920012060237,,3.0,2.96,14176.0
,,3.0,0.0,30752,,0.0,14656.0,0,,534.72,533.87,30867,,,1683037612.0,2,3,0.72,1057.7175621960084,107,167,1057.7175621960084,,3.0,1.8,14816.0
,,3.0,0.0,32000,,0.0,15296.0,0,,532.7,525.01,32124,,,1683037614.0,2,3,0.5,1056.6200467036765,108,169,1056.6200467036765,,3.0,0.61,15456.0
,,3.0,0.0,32800,,0.0,15936.0,0,,535.39,521.23,33373,,,1683037615.0,2,3,0.5,1053.250733837027,109,170,1053.250733837027,,3.0,0.0,16064.0
,,3.0,0.0,0,,0.0,16320.0,0,,533.67,519.58,169,,,1683037616.0,2,4,10.0,1053.250733837027,110,171,1053.250733837027,,3.0,30.95,16480.0
4.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0,1022.2991017732371,533.67,519.58,1426,131200.0,32800.0,1683037617.0,2,4,10.0,1053.250733837027,111,172,1053.250733837027,32.08454349916428,4.0,29.76,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,2677,,,1683037618.0,2,4,10.0,1053.250733837027,112,173,1053.250733837027,,4.0,28.57,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,3925,,,1683037620.0,2,4,10.0,1053.250733837027,113,175,1053.250733837027,,4.0,27.38,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,5178,,,1683037621.0,2,4,10.0,1053.250733837027,114,176,1053.250733837027,,4.0,26.2,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,9416,,,1683037625.0,2,4,8.87,1053.250733837027,115,180,1053.250733837027,,4.0,22.17,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,10492,,,1683037626.0,2,4,8.46,1053.250733837027,116,181,1053.250733837027,,4.0,21.15,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,11568,,,1683037627.0,2,4,8.05,1053.250733837027,117,182,1053.250733837027,,4.0,20.13,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,12641,,,1683037628.0,2,4,7.64,1053.250733837027,118,183,1053.250733837027,,4.0,19.11,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,13714,,,1683037629.0,2,4,7.24,1053.250733837027,119,184,1053.250733837027,,4.0,18.09,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,14793,,,1683037630.0,2,4,6.83,1053.250733837027,120,185,1053.250733837027,,4.0,17.07,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,15866,,,1683037631.0,2,4,6.42,1053.250733837027,121,186,1053.250733837027,,4.0,16.05,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,16938,,,1683037632.0,2,4,6.01,1053.250733837027,122,187,1053.250733837027,,4.0,15.03,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,18011,,,1683037633.0,2,4,5.6,1053.250733837027,123,188,1053.250733837027,,4.0,14.01,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,19084,,,1683037634.0,2,4,5.2,1053.250733837027,124,189,1053.250733837027,,4.0,12.99,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,20162,,,1683037635.0,2,4,4.79,1053.250733837027,125,190,1053.250733837027,,4.0,11.97,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,21236,,,1683037636.0,2,4,4.38,1053.250733837027,126,191,1053.250733837027,,4.0,10.95,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,22315,,,1683037637.0,2,4,3.97,1053.250733837027,127,192,1053.250733837027,,4.0,9.92,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,23388,,,1683037638.0,2,4,3.56,1053.250733837027,128,193,1053.250733837027,,4.0,8.91,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,24463,,,1683037639.0,2,4,3.15,1053.250733837027,129,194,1053.250733837027,,4.0,7.89,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,25534,,,1683037640.0,2,4,2.75,1053.250733837027,130,195,1053.250733837027,,4.0,6.87,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,26622,,,1683037641.0,2,4,2.33,1053.250733837027,131,196,1053.250733837027,,4.0,5.84,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,27698,,,1683037642.0,2,4,1.93,1053.250733837027,132,197,1053.250733837027,,4.0,4.81,0.0
,,4.0,0.0,0,,0.0,0.0,0,,533.67,519.58,28776,,,1683037643.0,2,4,1.52,1053.250733837027,133,198,1053.250733837027,,4.0,3.79,0.0
