02_timing/forward_time_s,01_general/minibatch_loss,02_timing/dataload_time_s,cpu/interrupts/soft_interrupts_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/virtual_memory_size_proc_MB,01_general/lr,02_timing/step_time_s,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_percent,01_general/dataset_iteration_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,_step,02_timing/opt_step_time_s,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,process/memory/dirty_pages_proc_count,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,_timestamp,cpu/logical_core_count,memory/used_memory_sys_MB,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/step,03_hivemind/num_peers,memory/total_memory_sys_MB,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,disk/time/disk_write_time_sys_s,_runtime,03_hivemind/global_epoch,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples
,7.0948486328125,0.0027163939998899878,,,,,,,0.0001,0.2077451139994082,0.14345926399983,,,0.0,,,45,0.040287593999892124,,,,,,1681395435.0,,,,,,26.0,5.0,,,,,,18,0.0,,,,,,,864.0
0.01744744300003731,7.3531494140625,0.0027674650000335532,,,,,,,0.0001,0.205280904999654,0.14198011000007682,,,0.0,,,46,0.03962758799980293,,,,,,1681395436.0,,,,,,27.0,5.0,,,,0.0004058409999743162,,19,0.0,,0.0030524579997290857,,,,,896.0
0.01734931700002562,7.4713134765625,0.0028485460002229956,,,,,,,0.0001,0.20607818600001337,0.14241628299987497,,,0.0,,,47,0.03987459099971602,,,,,,1681395436.0,,,,,,28.0,5.0,,,,0.00043600500021057087,,19,0.0,,0.0031534439999632013,,,,,928.0
,,,76402.0,2451.49696,7.8,1.0638222429494306,1.6666666666666667,31919.12448,,,,0.22799999999999443,5.3,,0.04902656700985814,0.0,48,,2.0,6553.00608,0.0,6367.490048,2.719744,1681395436.0,,7716.253696,0.0009999999999994458,58.0,0.0,,,,891.0,2.4,,0.021000000000015007,19,,1040462.0,0.0031418029998349084,1063.0,104.91374934360103,199932.387328,71895.0,
0.021001019999857817,7.1494140625,0.002637465000134398,,,,,,,0.0001,0.207827511999767,0.1404367199997978,,,0.0,,,49,0.040146417999949335,,,,,,1681395436.0,,,,,,29.0,5.0,,,,0.0004640860001927649,,19,0.0,,,,,,,960.0
0.01725898099994083,7.177978515625,0.0027881229998456547,,,,,,,0.0001,0.208300486999633,0.1444991729999856,,,0.0,,,50,0.04020171999991362,,,,,,1681395437.0,,,,,,30.0,5.0,,,,0.0004608029998962593,,20,0.0,,0.0030916870000510244,,,,,992.0
0.017175484000290453,,,81755.0,2451.49696,7.8,1.6874704232912638,1.6666666666666667,31919.386624,,,0.14362917300013578,0.23999999999999488,5.3,,0.012261365471633258,0.0,51,0.04021366699998907,2.0,6553.276416,0.0,6367.494144,2.719744,1681395437.0,,7725.883392,0.0009999999999994458,61.0,0.0,,,,1006.0,2.4,0.00047175300005619647,0.02199999999999136,20,,1045076.0,0.0030645490001006692,1100.0,99.12816665658508,199903.858688,76139.0,
,7.30322265625,0.002742123000189167,,,,,,,0.0001,0.20729674900076134,,,,0.0,,,52,,,,,,,1681395437.0,,,,,,31.0,5.0,,,,,,20,0.0,,,,,,,1024.0
0.018027007000000594,7.3575439453125,0.00256021499990311,,,,,,,0.0001,0.20641301899968312,0.142534367999815,,,0.0,,,53,0.039794711000013194,,,,,,1681395437.0,,,,,,32.0,5.0,,,,0.0004629400000339956,,20,0.0,,0.00303377799991722,,,,,1056.0
0.017172108000067965,7.06396484375,0.0024861480001163727,,,,,,,0.0001,0.2064125480005714,0.14314107100017281,,,0.0,,,54,0.039894376000120246,,,,,,1681395438.0,,,,,,33.0,5.0,,,,0.00045434000003297115,,21,0.0,,0.0032645050000610354,,,,,1088.0
0.01748783600032766,,,87030.0,2451.480576,7.433333333333334,2.418331544150748,1.6666666666666667,31919.386624,,,0.14292189599973426,0.2639999999999958,5.3,,0.20436289778755803,0.0,55,0.03996452599994882,2.0,6553.280512,0.0,6367.47776,2.719744,1681395438.0,,7728.287744,0.0009999999999994458,93.0,0.0,,,,1158.0,2.433333333333333,0.0004593589997057279,0.043000000000006366,21,,1049866.0,0.0031281599999601895,1117.0,93.94441070845787,199901.466624,80655.0,
,7.3204345703125,0.002887309000016103,,,,,,,0.0001,0.20684908599969276,,,,0.0,,,56,,,,,,,1681395438.0,,,,,,34.0,5.0,,,,,,21,0.0,,,,,,,1120.0
0.016919135000080132,7.063232421875,0.0027116340002066863,,,,,,,0.0001,0.2075291930000276,0.1445705569999518,,,0.0,,,57,0.03988308499992854,,,,,,1681395438.0,,,,,,35.0,5.0,,,,0.00038646099983452586,,21,0.0,,0.0030583210000258987,,,,,1152.0
0.01712118500017823,7.091552734375,0.0028512939998108777,,,,,,,0.0001,0.20792132799897445,0.14477151799974308,,,0.0,,,58,0.039764184999967256,,,,,,1681395439.0,,,,,,36.0,5.0,,,,0.0003819589996965078,,22,0.0,,0.0030311869995784946,,,,,1184.0
0.016924599000049056,,,93372.0,2451.49696,7.433333333333334,2.4882291099570675,1.6666666666666667,31919.386624,,,0.14517212500004462,0.28000000000000114,5.3,,0.016348763447770507,0.0,59,0.03988383800015072,2.0,6553.288704,0.0,6367.494144,2.719744,1681395439.0,,7772.274688,0.0009999999999994458,97.0,0.0,,,,1162.0,2.433333333333333,0.00040754099973128177,0.04399999999998272,22,,1055379.0,0.0031182259999695816,1172.0,96.4123141579667,199857.422336,85485.0,
,7.349609375,0.002729525000177091,,,,,,,0.0001,0.20823585400012234,,,,0.0,,,60,,,,,,,1681395439.0,,,,,,37.0,5.0,,,,,,22,0.0,,,,,,,1216.0
0.017434839999623364,7.1668701171875,0.002512076000130037,,,,,,,0.0001,0.2069852019994869,0.14365746799967383,,,0.0,,,61,0.0399031750002905,,,,,,1681395439.0,,,,,,38.0,5.0,,,,0.00038739599995096796,,22,0.0,,0.0030902469998181914,,,,,1248.0
0.01718224399974133,7.2569580078125,0.0029094450001139194,,,,,,,0.0001,0.20757743699959974,0.14394718499988812,,,0.0,,,62,0.040049354000075255,,,,,,1681395440.0,,,,,,39.0,5.0,,,,0.00038376599968614755,,23,0.0,,0.003105443000094965,,,,,1280.0
0.017144445000212727,,,98634.0,2451.47648,7.433333333333334,2.4980673175182044,1.6666666666666667,31919.386624,,,0.1451389389999349,0.30400000000000205,5.3,,0.10217860470394867,0.0,63,0.040012851000028604,2.0,6553.296896,0.0,6367.49824,2.719744,1681395440.0,,7774.437376,0.0009999999999994458,105.0,0.0,,,,1164.0,2.433333333333333,0.000408080999932281,0.047000000000025466,23,,1060536.0,0.0030717549998371396,1218.0,101.27329428741415,199854.866432,90659.0,
,7.382568359375,0.0029070400000819063,,,,,,,0.0001,0.20868311100002757,,,,0.0,,,64,,,,,,,1681395440.0,,,,,,40.0,5.0,,,,,,23,0.0,,,,,,,1312.0
0.017097150000154215,7.0662841796875,0.0025586370002201875,,,,,,,0.0001,0.2090620530002525,0.14606950899997173,,,0.0,,,65,0.03988552900000286,,,,,,1681395440.0,,,,,,41.0,5.0,,,,0.0003974810001636797,,23,0.0,,0.0030537469997398148,,,,,1344.0
0.01727941599983751,7.3431396484375,0.002861500000108208,,,,,,,0.0001,0.20587889900025402,0.14244988400014336,,,0.0,,,66,0.03982683200001702,,,,,,1681395441.0,,,,,,42.0,8.0,,,,0.000381721999929141,,24,0.0,,0.0030795450002187863,,,,,1376.0
