02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/step,disk/counter/disk_write_sys_count,process/memory/data_resident_set_proc_MB,memory/used_memory_sys_MB,01_general/dataset_iteration_count,02_timing/step_time_s,disk/time/disk_busy_time_sys_s,process/involuntary_proc_ctx_switches,memory/used_memory_sys_percent,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_one_min_percent,_timestamp,memory/available_memory_sys_MB,03_hivemind/num_peers,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,cpu/logical_core_count,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_cuda_move_time_s,_step,02_timing/backward_time_s,cpu/interrupts/interrupts_count,memory/total_memory_sys_MB,process/memory/dirty_pages_proc_count,03_hivemind/global_epoch,02_timing/dataload_time_s,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/memory/lib_memory_proc_MB,process/memory/shared_memory_proc_MB,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_five_min_percent,disk/time/disk_read_time_sys_s,02_timing/forward_time_s,01_general/minibatch_loss,01_general/lr,02_timing/loss_calc_time_s,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/disk_read_sys_bandwidth_MBs
,,,978.0,0.0,3063.939072,,,1.1599999999999966,45.0,12.2,2610.864128,13869.395968,37.753999999999905,5.0,3.0,1696169533.0,27716.186112,,0.012565959919892844,0.046202840574997225,44,,2.654208,4.5,,44,,82387.0,,0.0,,,4157.0,20612.0,2695.114752,833.51552,36175.0,4.875,0.0019999999999988916,,,,,0.004084934273525612,0.0
,,,979.0,0.0,3063.939072,,,1.1640000000000015,45.0,12.2,2610.864128,13869.395968,37.753999999999905,5.0,3.0,1696169534.0,27716.186112,,0.006997616321548337,0.008497675465434961,45,,2.654208,4.5,,45,,82691.0,,0.0,,,4157.0,20767.0,2695.114752,833.51552,36640.0,4.875,0.0019999999999988916,,,,,0.0040852674542244125,0.0
,,,987.0,0.0,3063.902208,,,1.171999999999997,45.0,12.2,2610.864128,13869.395968,37.76099999999997,5.0,3.0,1696169535.0,27716.222976,,0.014670422824024967,0.04997835725469723,46,,2.654208,4.5,,46,,83035.0,,0.0,,,4157.0,20962.0,2695.118848,833.51552,37162.0,4.875,0.0019999999999988916,,,,,0.03675981966932175,0.0
,,,988.0,0.0,3063.799808,,,1.176000000000002,45.0,12.2,2610.864128,13869.395968,37.76099999999997,5.0,3.0,1696169536.0,27716.329472,,0.05642264889492163,0.023004737203221628,47,,2.654208,4.5,,47,,83387.0,,0.0,,,4157.0,21149.0,2695.118848,833.51552,37682.0,4.875,0.0019999999999988916,,,,,0.004085475355431065,0.0
,,,991.0,0.0,3063.824384,,,1.1839999999999975,45.0,12.2,2610.864128,13869.395968,37.76299999999992,5.0,3.0,1696169537.0,27716.296704,,0.010684396820365179,0.043168474086343334,48,,2.654208,4.5,,48,,83686.0,,0.0,,,4157.0,21294.0,2695.118848,833.51552,38160.0,4.875,0.0019999999999988916,,,,,0.03268356189528119,0.0
,,,992.0,0.0,3063.824384,,,1.1880000000000024,45.0,12.2,2610.864128,13869.395968,37.76399999999967,5.0,2.75,1696169538.0,27716.296704,,0.006135140558541841,0.007252071217164359,49,,2.654208,4.5,,49,,83992.0,,0.0,,,4157.0,21439.0,2695.122944,833.51552,38638.0,4.75,0.0019999999999988916,,,,,0.0040847749876721995,0.0
,,,993.0,0.0,3063.754752,,,1.1920000000000073,45.0,12.2,2610.864128,13869.395968,37.76399999999967,5.0,2.75,1696169539.0,27716.36224,,0.014713534997254663,0.04691734587290149,50,,2.654208,4.5,,50,,84306.0,,0.0,,,4157.0,21621.0,2695.122944,833.51552,39114.0,4.75,0.0019999999999988916,,,,,0.004085319913280545,0.0
,,,994.0,0.0,3063.721984,,,1.195999999999998,45.0,12.2,2610.864128,13869.395968,37.76499999999987,5.0,2.75,1696169540.0,27716.395008,,0.004556208379568471,0.0070776827190482325,51,,2.654208,4.5,,51,,84605.0,,0.0,,,4157.0,21778.0,2695.122944,833.51552,39572.0,4.75,0.0019999999999988916,,,,,0.004085426776674074,0.0
,,,995.0,0.0,3063.717888,,,1.2000000000000028,45.0,12.2,2610.864128,13869.395968,37.76599999999962,5.0,2.75,1696169541.0,27716.395008,,0.013858478428027971,0.049928818652978414,52,,2.654208,4.5,,52,,85010.0,,0.0,,,4157.0,21992.0,2695.122944,833.51552,40176.0,4.75,0.0019999999999988916,,,,,0.004084940101292393,0.0
,,,1000.0,0.0,3063.717888,,,1.2120000000000033,45.0,12.2,2610.864128,13869.395968,37.76800000000003,5.0,2.75,1696169542.0,27716.4032,,0.005609091650860347,0.005609091649046179,53,,2.654208,4.5,,53,,85331.0,,0.0,,,4157.0,22123.0,2695.122944,833.51552,40698.0,4.75,0.0019999999999988916,,,,,0.04902170568259936,0.0
