03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
1452,31.54642441887968,2,0,134,0.0,202,5,0.5,31.54642441887968,1696171530,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1484,31.54642441887968,2,0,135,0.0,203,5,0.5,31.54642441887968,1696171531,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1516,31.54642441887968,2,0,136,0.0,204,5,0.5,31.54642441887968,1696171532,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1548,31.54642441887968,2,0,137,0.0,205,5,0.5,31.54642441887968,1696171533,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1581,31.54642441887968,2,0,138,0.0,206,5,0.5,31.54642441887968,1696171534,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1613,31.54642441887968,2,0,139,0.0,207,5,0.5,31.54642441887968,1696171535,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1645,31.54642441887968,2,0,140,0.0,208,5,0.5,31.54642441887968,1696171536,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1677,31.54642441887968,2,0,141,0.0,209,5,0.5,31.54642441887968,1696171537,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1709,31.54642441887968,2,0,142,0.0,210,5,0.5,31.54642441887968,1696171538,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1741,31.54642441887968,2,0,143,0.0,211,5,0.5,31.54642441887968,1696171539,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
1774,31.54642441887968,2,0,144,0.0,212,5,0.5,31.54642441887968,1696171540,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
