03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
169026,3592.4829408061464,4,0,77,0.0,128,4,0.5,3592.4829408061464,1683047190,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
172701,3592.4829408061464,4,0,78,0.0,130,4,0.5,3592.4829408061464,1683047192,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
176378,3592.4829408061464,4,0,79,0.0,131,4,0.5,3592.4829408061464,1683047193,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
180075,3592.4829408061464,4,0,80,0.0,132,4,0.5,3592.4829408061464,1683047194,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
183743,3592.4829408061464,4,0,81,0.0,133,4,0.5,3592.4829408061464,1683047195,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
187422,3592.4829408061464,4,0,82,0.0,134,4,0.5,3592.4829408061464,1683047196,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
191101,3592.4829408061464,4,0,83,0.0,135,4,0.5,3592.4829408061464,1683047197,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
194790,3592.4829408061464,4,0,84,0.0,136,4,0.5,3592.4829408061464,1683047198,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
198462,3592.4829408061464,4,0,85,0.0,137,4,0.5,3592.4829408061464,1683047199,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
202143,3592.4829408061464,4,0,86,0.0,138,4,0.5,3592.4829408061464,1683047200,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
205823,3592.4829408061464,4,0,87,0.0,139,4,0.5,3592.4829408061464,1683047201,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
209501,3592.4829408061464,4,0,88,0.0,140,4,0.5,3592.4829408061464,1683047202,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
213181,3592.4829408061464,4,0,89,0.0,141,4,0.5,3592.4829408061464,1683047203,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
