04_peers/peer_4_epoch,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples,03_hivemind/epoch_s,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_2_epoch,04_peers/peer_2_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_9_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_accumulated,_runtime,03_hivemind/global_samples_accumulated,03_hivemind/eta_next_epoch_s,04_peers/peer_8_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_7_samples_accumulated,_timestamp,03_hivemind/num_clients,04_peers/peer_2_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_6_samples_accumulated,_step,04_peers/peer_9_epoch,03_hivemind/undershot_TBS,04_peers/peer_9_samples_accumulated,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,03_hivemind/global_epoch,03_hivemind/reached_TBS,04_peers/peer_6_epoch,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_6_samples_per_second,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/num_peers,04_peers/peer_5_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch
1.0,0.5,82023,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,271,32960,0.0,1.0,117.83,3488.0,5696.0,1681382124.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,154,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,83716,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,273,32960,0.0,1.0,117.83,3488.0,5696.0,1681382126.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,155,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,85413,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,274,32960,0.0,1.0,117.83,3488.0,5696.0,1681382127.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,156,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,87097,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,276,32960,0.0,1.0,117.83,3488.0,5696.0,1681382129.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,157,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,88786,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,277,32960,0.0,1.0,117.83,3488.0,5696.0,1681382130.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,158,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,90472,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,278,32960,0.0,1.0,117.83,3488.0,5696.0,1681382131.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,159,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,92171,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,280,32960,0.0,1.0,117.83,3488.0,5696.0,1681382133.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,160,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,93872,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,281,32960,0.0,1.0,117.83,3488.0,5696.0,1681382134.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,161,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,95555,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,283,32960,0.0,1.0,117.83,3488.0,5696.0,1681382136.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,162,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,97252,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,284,32960,0.0,1.0,117.83,3488.0,5696.0,1681382137.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,163,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,98936,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,285,32960,0.0,1.0,117.83,3488.0,5696.0,1681382138.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,164,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,100643,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,287,32960,0.0,1.0,117.83,3488.0,5696.0,1681382140.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,165,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,102334,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,288,32960,0.0,1.0,117.83,3488.0,5696.0,1681382141.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,166,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,104029,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,290,32960,0.0,1.0,117.83,3488.0,5696.0,1681382143.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,167,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,105727,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,291,32960,0.0,1.0,117.83,3488.0,5696.0,1681382144.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,168,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,107516,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,292,32960,0.0,1.0,117.83,3488.0,5696.0,1681382145.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,169,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,109289,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,294,32960,0.0,1.0,117.83,3488.0,5696.0,1681382147.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,170,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,10.0,1854,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,295,1376,29.5,1.0,117.83,3488.0,5696.0,1681382148.0,0,3488.0,1048.0130772648902,0.0,1.0,0.0,120.4,3488.0,171,1.0,,3392.0,116.9,252.93,2,,1.0,0.0,3328.0,1.0,0.0,122.57,1048.0130772648902,0.0,0.0,9,119.42,119.22,3328.0,,1.0
