04_peers/peer_2_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/num_clients,03_hivemind/global_epoch,_runtime,03_hivemind/num_peers,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,_step,03_hivemind/next_fetch_time_s,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch_oos,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps
8832.0,,9088.0,18194,176.87298833438365,,91.48,0.0,82.4,176.87298833438365,1681402606.0,0.0,0.0,0,0,136,2,85.41,18112,88,10.0,,0.0,,,,
8928.0,,9184.0,18403,176.77246440118785,,91.49,0.0,81.26,176.77246440118785,1681402608.0,0.0,0.0,0,0,138,2,85.39,18336,89,10.0,,0.0,,,,
9056.0,,9280.0,18613,176.6671181070841,,91.44,0.0,80.12,176.6671181070841,1681402609.0,0.0,0.0,0,0,139,2,85.33,18528,90,10.0,,0.0,,,,
9152.0,,9376.0,18823,176.59274955552223,,91.45,0.0,78.97,176.59274955552223,1681402610.0,0.0,0.0,0,0,140,2,85.22,18720,91,10.0,,0.0,,,,
9248.0,,9472.0,19032,176.62036117742304,,91.45,0.0,77.77,176.62036117742304,1681402611.0,0.0,0.0,0,0,141,2,85.15,18944,92,10.0,,0.0,,,,
9376.0,,9568.0,19242,176.61757087955698,,91.47,0.0,76.59,176.61757087955698,1681402612.0,0.0,0.0,0,0,142,2,85.15,19168,93,10.0,,0.0,,,,
9472.0,,9696.0,19451,176.60673750326373,,91.41,0.0,75.4,176.60673750326373,1681402614.0,0.0,0.0,0,0,144,2,85.21,19392,94,10.0,,0.0,,,,
9600.0,,9792.0,19660,176.55141124130688,,91.39,0.0,74.24,176.55141124130688,1681402615.0,0.0,0.0,0,0,145,2,85.21,19584,95,10.0,,0.0,,,,
9696.0,,9888.0,19868,176.22206054851887,,91.34,0.0,73.21,176.22206054851887,1681402616.0,0.0,0.0,0,0,146,2,85.21,19776,96,10.0,,0.0,,,,
9792.0,,9984.0,20076,176.24054161728085,,91.38,0.0,72.01,176.24054161728085,1681402617.0,0.0,0.0,0,0,147,2,84.85,20000,97,10.0,,0.0,,,,
9920.0,,10080.0,20286,176.32335841967,,91.33,0.0,70.79,176.32335841967,1681402618.0,0.0,0.0,0,0,148,2,84.91,20192,98,10.0,,0.0,,,,
10016.0,,10176.0,20496,176.37946859277247,,91.29,0.0,69.58,176.37946859277247,1681402620.0,0.0,0.0,0,0,150,2,85.03,20384,99,10.0,,0.0,,,,
10112.0,,10272.0,20705,176.29500166191116,,91.33,0.0,68.42,176.29500166191116,1681402621.0,0.0,0.0,0,0,151,2,85.05,20640,100,10.0,,0.0,,,,
10240.0,,10400.0,20916,176.23958674945385,,91.26,0.0,67.25,176.23958674945385,1681402622.0,0.0,0.0,0,0,152,2,85.04,20832,101,10.0,,0.0,,,,
10336.0,,10496.0,21125,176.2494505514402,,91.23,0.0,66.06,176.2494505514402,1681402623.0,0.0,0.0,0,0,153,2,85.01,21056,102,10.0,,0.0,,,,
10464.0,,10592.0,21333,176.17435373713292,,91.21,0.0,64.91,176.17435373713292,1681402624.0,0.0,0.0,0,0,154,2,85.04,21248,103,10.0,,0.0,,,,
10560.0,,10688.0,21541,176.1523314334422,,91.13,0.0,63.73,176.1523314334422,1681402625.0,0.0,0.0,0,0,155,2,85.04,21440,104,10.0,,0.0,,,,
10656.0,,10784.0,21750,176.06142041333095,,91.09,0.0,62.58,176.06142041333095,1681402627.0,0.0,0.0,0,0,157,2,85.06,21664,105,10.0,,0.0,,,,
10784.0,,10880.0,21959,176.0760409751947,,91.06,0.0,61.39,176.0760409751947,1681402628.0,0.0,0.0,0,0,158,2,85.0,21888,106,10.0,,0.0,,,,
10880.0,,11008.0,22168,176.08321891144095,,91.05,0.0,60.2,176.08321891144095,1681402629.0,0.0,0.0,0,0,159,2,85.02,22080,107,10.0,,0.0,,,,
10976.0,,11104.0,22376,176.0104548304198,,91.04,0.0,59.04,176.0104548304198,1681402630.0,0.0,0.0,0,0,160,2,85.04,22304,108,10.0,,0.0,,,,
11104.0,,11200.0,22585,175.97302907488907,,91.0,0.0,57.87,175.97302907488907,1681402631.0,0.0,0.0,0,0,161,2,85.01,22496,109,10.0,,0.0,,,,
11200.0,,11296.0,22794,175.9852395949158,,90.96,0.0,56.68,175.9852395949158,1681402633.0,0.0,0.0,0,0,163,2,85.02,22720,110,10.0,,0.0,,,,
11328.0,,11392.0,23002,175.95972619676883,,90.95,0.0,55.5,175.95972619676883,1681402634.0,0.0,0.0,0,0,164,2,85.03,22912,111,10.0,,0.0,,,,
11424.0,,11488.0,23211,176.0043421432003,,90.92,0.0,54.3,176.0043421432003,1681402635.0,0.0,0.0,0,0,165,2,85.04,23104,112,10.0,,0.0,,,,
11520.0,,11584.0,23420,175.9266147050932,,90.94,0.0,53.13,175.9266147050932,1681402636.0,0.0,0.0,0,0,166,2,85.07,23360,113,10.0,,0.0,,,,
11648.0,,11712.0,23629,175.92225628849923,,90.86,0.0,51.95,175.92225628849923,1681402637.0,0.0,0.0,0,0,167,2,85.07,23552,114,10.0,,0.0,,,,
11744.0,,11808.0,23838,175.8588800290189,,90.88,0.0,50.78,175.8588800290189,1681402639.0,0.0,0.0,0,0,169,2,85.04,23744,115,10.0,,0.0,,,,
11840.0,,11904.0,24046,175.80556963404894,,90.85,0.0,49.61,175.80556963404894,1681402640.0,0.0,0.0,0,0,170,2,85.01,23968,116,10.0,,0.0,,,,
11968.0,,12000.0,24256,175.81686355807074,,90.8,0.0,48.41,175.81686355807074,1681402641.0,0.0,0.0,0,0,171,2,85.01,24160,117,10.0,,0.0,,,,
12064.0,,12096.0,24464,175.6599216502469,,90.81,0.0,47.28,175.6599216502469,1681402642.0,0.0,0.0,0,0,172,2,85.0,24384,118,10.0,,0.0,,,,
12192.0,,12192.0,24672,175.67183856273596,,90.78,0.0,46.09,175.67183856273596,1681402643.0,0.0,0.0,0,0,173,2,84.88,24608,119,10.0,,0.0,,,,
12288.0,,12320.0,24880,175.65378649978692,,90.77,0.0,44.91,175.65378649978692,1681402644.0,0.0,0.0,0,0,174,2,84.91,24800,120,10.0,,0.0,,,,
12384.0,,12416.0,25088,175.5863338355149,,90.75,0.0,43.74,175.5863338355149,1681402646.0,0.0,0.0,0,0,176,2,84.91,25024,121,10.0,,0.0,,,,
12512.0,,12512.0,25296,175.5702732246333,,90.68,0.0,42.56,175.5702732246333,1681402647.0,0.0,0.0,0,0,177,2,84.91,25216,122,10.0,,0.0,,,,
12608.0,,12608.0,25503,175.52514643395313,,90.69,0.0,41.39,175.52514643395313,1681402648.0,0.0,0.0,0,0,178,2,84.88,25408,123,10.0,,0.0,,,,
12704.0,,12704.0,25712,175.53304973121806,,90.71,0.0,40.2,175.53304973121806,1681402649.0,0.0,0.0,0,0,179,2,84.82,25632,124,10.0,,0.0,,,,
12832.0,,12800.0,25921,175.5125588277327,,90.67,0.0,39.01,175.5125588277327,1681402650.0,0.0,0.0,0,0,180,2,84.86,25824,125,10.0,,0.0,,,,
12928.0,,12896.0,26129,175.429533734637,,90.67,0.0,37.84,175.429533734637,1681402652.0,0.0,0.0,0,0,182,2,84.84,26048,126,10.0,,0.0,,,,
13024.0,,13024.0,26337,175.32596942325478,,90.64,0.0,36.68,175.32596942325478,1681402653.0,0.0,0.0,0,0,183,2,84.79,26272,127,10.0,,0.0,,,,
13152.0,,13120.0,26545,175.31608138155758,,90.59,0.0,35.5,175.31608138155758,1681402654.0,0.0,0.0,0,0,184,2,84.73,26464,128,10.0,,0.0,,,,
13248.0,,13216.0,26753,175.36447429125695,,90.61,0.0,34.3,175.36447429125695,1681402655.0,0.0,0.0,0,0,185,2,84.71,26688,129,10.0,,0.0,,,,
13376.0,,13312.0,26961,175.31580399921467,,90.66,0.0,33.12,175.31580399921467,1681402656.0,0.0,0.0,0,0,186,2,84.71,26880,130,10.0,,0.0,,,,
13472.0,,13408.0,27170,175.30575706729272,,90.63,0.0,31.93,175.30575706729272,1681402658.0,0.0,0.0,0,0,188,2,84.68,27072,131,10.0,,0.0,,,,
