cpu/load/avg_sys_load_five_min_percent,disk/counter/disk_write_sys_count,_runtime,cpu/interrupts/interrupts_count,01_general/step_based_sps,disk/time/disk_read_time_sys_s,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,process/memory/data_resident_set_proc_MB,01_general/locally_processed_samples,disk/time/disk_write_time_sys_s,process/voluntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,02_timing/loss_calc_time_s,01_general/dataset_iteration_count,memory/total_memory_sys_MB,01_general/step,memory/used_memory_sys_MB,02_timing/step_time_s,bandwidth/disk_write_sys_bandwidth_MBs,02_timing/forward_time_s,process/memory/lib_memory_proc_MB,_timestamp,cpu/logical_core_count,process/involuntary_proc_ctx_switches,memory/used_memory_sys_percent,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,02_timing/backward_time_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_read_sys_count,_step,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/opt_step_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/minibatch_loss,memory/available_memory_sys_MB,process/memory/resident_set_size_proc_MB,02_timing/dataload_cuda_move_time_s,01_general/lr
,,23,,20.958818034150152,,,,,,,,,176.0,,,,0.21133762399995248,,0.0,,21.0,,0.3817009140002483,,,,1696164829.0,,,,,,,,,45,,,,2.481440782546997,,,,0.0001
,,23,,44.80286261627493,,,,,,,,,184.0,,,,0.0027561269998841453,0.0008454989999790996,0.0,,22.0,,0.17856001899963303,,0.13713253599985364,,1696164829.0,,,,,,0.035423954999942,,,46,,3.966000122090918e-06,,2.513813018798828,,,0.002397935999852052,0.0001
18.0,68.0,24,50636.0,,0.0019999999999988916,2.654208,11.625,25942.0,20.375,0.0,0.0,0.0,,0.06300000000010186,6295.0,25411.44064,,0.0008285769999929471,,,,4210.151424,,0.012247871708525693,0.13603534899993974,3600.175104,1696164830.0,,58.0,14.9,0.27200000000000557,972.36992,0.035326744000030885,31389.0,1.0,47,0.07260213014781618,2.8029999157297425e-06,0.00956067589607908,,26848.145408,3701.633024,0.0023992000001271663,
,,24,,21.44779880570616,,,,,,,,,192.0,,,,0.19840597699999307,,0.0,,23.0,,0.37299864999999954,,,,1696164830.0,,,,,,,,,48,,,,2.116006374359131,,,,0.0001
,,24,,46.72623334679545,,,,,,,,,200.0,,,,0.0019998880000002828,0.0007535950001056335,0.0,,24.0,,0.17121003400006884,,0.13923060199999782,,1696164830.0,,,,,,0.02672993700002735,,,49,,2.2029998945072293e-06,,2.41412091255188,,,0.0024938090000432567,0.0001
18.375,116.0,25,52560.0,,0.0019999999999988916,2.654208,11.75,26621.0,21.75,0.0,0.0,0.0,,0.12100000000009459,6316.0,25411.44064,,0.0007526099998358404,,,,4206.870528,,0.26969454131082443,0.13734406500020668,3600.175104,1696164831.0,,61.0,14.9,0.2920000000000016,972.36992,0.030159901999923022,32359.0,1.0,50,0.0,2.42700002672791e-06,0.0,,26851.213312,3701.63712,0.002464967999912915,
,,25,,21.14768267698536,,,,,,,,,208.0,,,,0.20756806700001107,,0.0,,25.0,,0.37829203899991626,,,,1696164831.0,,,,,,,,,51,,,,2.3841114044189453,,,,0.0001
,,25,,45.0353548365151,,,,,,,,,216.0,,,,0.0022588379999888275,0.0007877639998241648,0.0,,26.0,,0.17763821399967128,,0.13825232599992887,,1696164831.0,,,,,,0.03386390099990422,,,52,,2.933999894594308e-06,,2.2476613521575928,,,0.0024724510001306044,0.0001
18.375,119.0,26,54688.0,,0.0019999999999988916,2.654208,11.75,27356.0,21.75,0.0,0.0,0.0,,0.12400000000025102,6333.0,25404.010496,,0.0007408179999401909,,,,4203.360256,,0.012253296528366623,0.13486913599990658,3600.437248,1696164832.0,,61.0,14.9,0.30800000000000693,972.345344,0.03541312600009405,33580.0,1.0,53,0.07355168879718976,3.099999958067201e-06,0.01038658338644316,,26854.944768,3701.612544,0.002400920000127371,
,,26,,21.154105876431068,,,,,,,,,224.0,,,,0.20475007499999265,,0.0,,27.0,,0.3781771750000189,,,,1696164832.0,,,,,,,,,54,,,,2.305346965789795,,,,0.0001
