04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,_timestamp,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/per_epoch_training_samples,_step,03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second
1.0,,0.0,,91.59,183.63878454373096,1,1.48,2,,,3.7,7513,1680687865.0,,0,0.0,3616.0,3648.0,1.0,,76,7456,183.63878454373096,133,,92.12
1.0,,0.0,,91.54,183.5017341600811,1,1.01,2,,,2.52,7730,1680687866.0,,0,0.0,3712.0,3744.0,1.0,,77,7680,183.5017341600811,134,,92.1
1.0,,0.0,,91.49,183.44378333173665,1,0.53,2,,,1.33,7948,1680687867.0,,0,0.0,3840.0,3840.0,1.0,,78,7904,183.44378333173665,135,,92.01
1.0,,0.0,,91.48,183.39494336621,1,0.5,2,,,0.14,8165,1680687868.0,,0,0.0,3936.0,3968.0,1.0,,79,8096,183.39494336621,136,,91.97
1.0,,0.0,,91.5,183.34635238304298,1,0.5,2,,,0.0,8384,1680687870.0,,0,0.0,4032.0,4064.0,1.0,,80,8224,183.34635238304298,138,,91.9
1.0,,0.0,,91.48,183.34635238304298,1,0.5,2,,,0.0,8602,1680687871.0,,0,0.0,4096.0,4128.0,1.0,,81,8224,183.34635238304298,139,,91.86
1.0,,0.0,,91.48,183.34635238304298,1,0.5,2,,,0.0,8820,1680687872.0,,0,0.0,4096.0,4128.0,1.0,,82,8224,183.34635238304298,140,,91.86
1.0,,0.0,,91.48,183.34635238304298,1,0.5,2,,,0.0,9038,1680687873.0,,0,0.0,4096.0,4128.0,1.0,,83,8224,183.34635238304298,141,,91.86
1.0,,0.0,,91.48,183.50851709375144,2,10.0,2,,,43.92,132,1680687874.0,,0,0.0,4096.0,4128.0,1.0,,84,96,183.50851709375144,142,,91.86
2.0,2.0,0.0,164.82972978410575,93.46,186.42084212389744,2,10.0,2,0.0,0.0,41.98,365,1680687876.0,49.89391180081293,0,0.0,64.0,32.0,2.0,8224.0,85,320,186.42084212389744,144,16448.0,90.05
2.0,,0.0,,93.02,185.71151929166055,2,10.0,2,,,40.97,583,1680687877.0,,0,0.0,160.0,160.0,2.0,,86,512,185.71151929166055,145,,93.4
2.0,,0.0,,92.69,185.00242494898362,2,10.0,2,,,39.95,801,1680687878.0,,0,0.0,256.0,256.0,2.0,,87,768,185.00242494898362,146,,93.02
