_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
51,30,,,1681400466,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012045400217175484,0.029423761181533337,0.00533659290522337,0.042846343014389277,0.0018822266720235348,2.0,704.0,12.632187843322754,0.08211489953100681,0.0,0.0001,0.0014214357361197472,0.0,21.0
52,31,,,1681400467,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014747558161616325,0.028285042382776737,0.005465735215693712,0.0456101018935442,0.001945077907294035,2.0,736.0,12.68956184387207,0.08389808982610703,0.0,0.0001,0.0011173766106367111,0.0,22.0
53,31,,,1681400467,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011265170760452747,0.027505832724273205,0.006767667829990387,0.04118434293195605,0.0018114647828042507,2.0,768.0,12.675843238830566,0.07968144724145532,0.0,0.0001,0.0012856218963861465,0.0,23.0
54,31,,,1681400467,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001242771279066801,0.02786471089348197,0.00529323099181056,0.0444497331045568,0.0017625740729272366,2.0,800.0,12.603171348571777,0.08172294730320573,0.0,0.0001,0.001109926961362362,0.0,24.0
55,31,,,1681400467,2.609375,0.0,0.2719999999999345,11962.130432,0.03669082900495138,73763.0,1.139517779133593,5095.07584,277.0,12707.106816,0.0,0.0,0.0,9.09375,115409.0,52.18211429060327,229812.903936,2.854912,1496.0,0.32600000000002183,12822.687744,0.0,1369138.0,10.0,4.34375,46062.546944,431.0,0.00118205975741148,0.029796040151268244,,,0.0018639760091900826,,,,,,,,,
56,31,,,1681400467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009114305954426527,0.04334322502836585,,2.0,832.0,12.715356826782227,0.08663573116064072,0.0,0.0001,0.0013361242599785328,0.0,25.0
57,31,,,1681400467,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001463885884732008,0.029284166172146797,0.009082685224711895,0.045003087259829044,0.0018193349242210388,2.0,864.0,12.747395515441895,0.08780427789315581,0.0,0.0001,0.00115111842751503,0.0,26.0
58,31,,,1681400467,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012188311666250229,0.028808825183659792,0.005414364859461784,0.04325026413425803,0.0018529263325035572,2.0,896.0,12.564525604248047,0.08198439748957753,0.0,0.0001,0.0014391858130693436,0.0,27.0
59,31,,,1681400467,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012455708347260952,0.02832844341173768,0.005336342845112085,0.0433143749833107,0.001844875980168581,2.0,928.0,12.737326622009277,0.08135977014899254,0.0,0.0001,0.001290162093937397,0.0,28.0
60,31,,,1681400467,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012194500304758549,0.030044215265661478,0.0058630057610571384,0.041702785063534975,0.0018900069408118725,2.0,960.0,12.545214653015137,0.08201787481084466,0.0,0.0001,0.001298411749303341,0.0,29.0
61,32,,,1681400468,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014031948521733284,0.028640239033848047,0.005250750109553337,0.045376846101135015,0.0018537756986916065,2.0,992.0,12.631696701049805,0.08381117787212133,0.0,0.0001,0.0012863720767199993,0.0,30.0
62,32,,,1681400468,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013308231718838215,0.033346917014569044,0.008785329293459654,0.043052669148892164,0.0018971869722008705,2.0,1024.0,12.75935173034668,0.08979942044243217,0.0,0.0001,0.001386494841426611,0.0,31.0
