03_hivemind/global_epoch,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/total_training_samples,03_hivemind/num_peers,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_2_samples_accumulated,_runtime,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/optimistic_total_samples_per_second,_step,_timestamp,03_hivemind/num_clients,03_hivemind/eta_next_epoch_s,03_hivemind/per_epoch_training_samples,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/estimated_current_samples
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,155,,0.0,377.3482831808796,91,1681390487.0,0,0.0,,0.5,36.8,33477
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,156,,0.0,377.3482831808796,92,1681390488.0,0,0.0,,0.5,36.8,33920
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,158,,0.0,377.3482831808796,93,1681390490.0,0,0.0,,0.5,36.8,34364
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,159,,0.0,377.3482831808796,94,1681390491.0,0,0.0,,0.5,36.8,34806
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,160,,0.0,377.3482831808796,95,1681390492.0,0,0.0,,0.5,36.8,35250
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,161,,0.0,377.3482831808796,96,1681390493.0,0,0.0,,0.5,36.8,35694
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,162,,0.0,377.3482831808796,97,1681390494.0,0,0.0,,0.5,36.8,36136
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,164,,0.0,377.3482831808796,98,1681390496.0,0,0.0,,0.5,36.8,36579
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,165,,0.0,377.3482831808796,99,1681390497.0,0,0.0,,0.5,36.8,37022
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,166,,0.0,377.3482831808796,100,1681390498.0,0,0.0,,0.5,36.8,37467
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,167,,0.0,377.3482831808796,101,1681390499.0,0,0.0,,0.5,36.8,37913
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,168,,0.0,377.3482831808796,102,1681390500.0,0,0.0,,0.5,36.8,38357
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,169,,0.0,377.3482831808796,103,1681390501.0,0,0.0,,0.5,36.8,38802
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,171,,0.0,377.3482831808796,104,1681390503.0,0,0.0,,0.5,36.8,39248
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,172,,0.0,377.3482831808796,105,1681390504.0,0,0.0,,0.5,36.8,39692
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,173,,0.0,377.3482831808796,106,1681390505.0,0,0.0,,0.5,36.8,40135
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,174,,0.0,377.3482831808796,107,1681390506.0,0,0.0,,0.5,36.8,40578
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,175,,0.0,377.3482831808796,108,1681390507.0,0,0.0,,0.5,36.8,41023
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,176,,0.0,377.3482831808796,109,1681390508.0,0,0.0,,0.5,36.8,41468
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,178,,0.0,377.3482831808796,110,1681390510.0,0,0.0,,0.5,36.8,41914
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,179,,0.0,377.3482831808796,111,1681390511.0,0,0.0,,0.5,36.8,42359
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,180,,0.0,377.3482831808796,112,1681390512.0,0,0.0,,0.5,36.8,42804
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,181,,0.0,377.3482831808796,113,1681390513.0,0,0.0,,0.5,36.8,43249
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,182,,0.0,377.3482831808796,114,1681390514.0,0,0.0,,0.5,36.8,43694
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,184,,0.0,377.3482831808796,115,1681390516.0,0,0.0,,0.5,36.8,44138
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,185,,0.0,377.3482831808796,116,1681390517.0,0,0.0,,0.5,36.8,44584
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,186,,0.0,377.3482831808796,117,1681390518.0,0,0.0,,0.5,36.8,45028
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,187,,0.0,377.3482831808796,118,1681390519.0,0,0.0,,0.5,36.8,45472
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,188,,0.0,377.3482831808796,119,1681390520.0,0,0.0,,0.5,36.8,45917
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,189,,0.0,377.3482831808796,120,1681390521.0,0,0.0,,0.5,36.8,46359
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,191,,0.0,377.3482831808796,121,1681390523.0,0,0.0,,0.5,36.8,46804
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,192,,0.0,377.3482831808796,122,1681390524.0,0,0.0,,0.5,36.8,47248
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,193,,0.0,377.3482831808796,123,1681390525.0,0,0.0,,0.5,36.8,47694
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,194,,0.0,377.3482831808796,124,1681390526.0,0,0.0,,0.5,36.8,48139
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,195,,0.0,377.3482831808796,125,1681390527.0,0,0.0,,0.5,36.8,48584
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,197,,0.0,377.3482831808796,126,1681390529.0,0,0.0,,0.5,36.8,49027
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,198,,0.0,377.3482831808796,127,1681390530.0,0,0.0,,0.5,36.8,49470
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,199,,0.0,377.3482831808796,128,1681390531.0,0,0.0,,0.5,36.8,49914
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,200,,0.0,377.3482831808796,129,1681390532.0,0,0.0,,0.5,36.8,50358
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,201,,0.0,377.3482831808796,130,1681390533.0,0,0.0,,0.5,36.8,50801
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,202,,0.0,377.3482831808796,131,1681390534.0,0,0.0,,0.5,36.8,51247
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,204,,0.0,377.3482831808796,132,1681390536.0,0,0.0,,0.5,36.8,51690
0,340.55,32768,,,2,0.0,,4352.0,0.0,0.0,,377.3482831808796,,28416.0,205,,0.0,377.3482831808796,133,1681390537.0,0,0.0,,0.5,36.8,52148
1,340.55,32,,,2,0.0,,4352.0,0.0,0.0,,378.7267807858578,,28416.0,206,,0.0,378.7267807858578,134,1681390538.0,0,84.95,,10.0,36.8,596
1,340.55,96,0.0,32768.0,2,0.0,196.21753184259228,32.0,1.0,1.0,0.0,378.1193406166567,166.9983293148689,0.0,207,1.0,0.0,378.1193406166567,135,1681390539.0,0,83.93,32768.0,10.0,38.18,1033
1,340.55,128,,,2,0.0,,96.0,1.0,1.0,,378.1208973977262,,0.0,208,,0.0,378.1208973977262,136,1681390540.0,0,82.75,,10.0,37.57,1477
1,340.55,160,,,2,0.0,,128.0,1.0,1.0,,378.1192857610685,,0.0,209,,0.0,378.1192857610685,137,1681390541.0,0,81.58,,10.0,37.57,1923
