01_general/dataset_iteration_count,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,02_timing/dataload_time_s,disk/time/disk_write_time_sys_s,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_one_min_percent,01_general/minibatch_loss,disk/counter/disk_read_sys_count,_step,01_general/lr,_runtime,cpu/logical_core_count,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,cpu/interrupts/soft_interrupts_count,02_timing/loss_calc_time_s,03_hivemind/num_peers,memory/available_memory_sys_MB,01_general/step,memory/used_memory_sys_percent,_timestamp,memory/total_memory_sys_MB,02_timing/opt_step_time_s,process/memory/shared_memory_proc_MB,02_timing/step_time_s,cpu/interrupts/interrupts_count,bandwidth/disk_read_sys_bandwidth_MBs,02_timing/dataload_cuda_move_time_s,process/memory/text_resident_set_proc_MB,process/memory/data_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,02_timing/backward_time_s,process/voluntary_proc_ctx_switches,disk/time/disk_busy_time_sys_s,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/lib_memory_proc_MB,03_hivemind/global_epoch,cpu/load/avg_sys_load_fifteen_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB,01_general/locally_processed_samples,bandwidth/net_sent_sys_bandwidth_Mbits,disk/counter/disk_write_sys_count,memory/used_memory_sys_MB,cpu/load/avg_sys_load_five_min_percent
,247.0,0.0,,35.36400000000003,365420.0,8.75,,4592.0,70,,62,,,3.9570000000000007,139328.0,,,25145.597952,,20.3,1696169643.0,,,1287.077888,,341292.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.084000000000003,0.06314539397880081,3937.456128,,4.5,0.004083157578467567,4239.384576,,0.09197471946628676,1074.0,5536.272384,5.375
,247.0,0.0,,35.36400000000003,367087.0,8.75,,4592.0,71,,63,,,3.9570000000000007,140908.0,,,25206.714368,,20.1,1696169644.0,,,1287.077888,,343210.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.088000000000008,0.14515662251376615,3937.456128,,4.5,0.004086895283906114,4239.384576,,0.050822777869219266,1075.0,5475.160064,5.375
,247.0,0.0,,35.373999999999796,367540.0,8.75,,4592.0,72,,64,,,3.9570000000000007,141429.0,,,25208.922112,,20.1,1696169645.0,,,1287.077888,,343701.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.112000000000009,0.027311889856214137,3937.456128,,4.5,0.2859649817163282,4239.384576,,0.08101011326356028,1092.0,5472.935936,5.375
,247.0,0.0,,35.375,367962.0,8.75,,4592.0,73,,65,,,3.9570000000000007,141676.0,,,25210.126336,,20.1,1696169646.0,,,1287.077888,,344024.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.116,0.008194481762640659,3937.456128,,4.5,0.004085272311487828,4239.384576,,0.06950548261800318,1093.0,5471.731712,5.375
,247.0,0.0,,35.375,368209.0,8.0,,4592.0,74,,66,,,3.9570000000000007,141819.0,,,25210.126336,,20.1,1696169647.0,,,1287.077888,,344200.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.1200000000000045,0.0027366193635544505,3937.456128,,4.5,0.004084982836942786,4239.384576,,0.0672187117415402,1094.0,5471.727616,5.375
,247.0,0.0,,35.378999999999905,368459.0,8.0,,4592.0,75,,67,,,3.9570000000000007,141960.0,,,25210.55232,,20.1,1696169648.0,,,1287.077888,,344376.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.128,0.003399462246597281,3937.456128,,4.5,0.06128607993114192,4239.384576,,0.0010533544988561925,1098.0,5471.31392,5.375
,247.0,0.0,,35.38000000000011,368767.0,8.0,,4592.0,76,,68,,,3.9570000000000007,142133.0,,,25210.585088,,20.1,1696169649.0,,,1287.077888,,344604.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.132000000000005,0.018201471142701743,3937.456128,,4.5,0.004085555993892064,4239.384576,,0.14498138061643634,1099.0,5471.281152,5.375
,247.0,0.0,,35.38299999999981,369760.0,8.0,,4592.0,77,,69,,,3.9570000000000007,142606.0,,,25210.564608,,20.1,1696169650.0,,,1287.077888,,345559.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.140000000000001,0.20912442429745662,3937.456128,,4.5,0.07762371793279194,4239.384576,,0.414690030938295,1103.0,5471.29344,5.375
,247.0,0.0,,35.38299999999981,424455.0,8.0,,4592.0,78,,70,,,3.9570000000000007,153538.0,,,25170.08384,,20.2,1696169651.0,,,1287.077888,,381002.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.14800000000001,623.8989410247119,3937.456128,,4.5,0.004085432607660498,4239.384576,,579.4598712631898,1104.0,5511.7824,5.375
,247.0,0.0,,35.384000000000015,477764.0,8.375,,4592.0,79,,71,,,3.9570000000000007,163980.0,,,25168.551936,,20.2,1696169652.0,,,1287.077888,,415468.0,0.0,,2.654208,0.0,31119.13472,,7809.0,6.156000000000006,409.65199843290145,3937.456128,,4.625,0.004088503005453687,4239.384576,,355.62231144302433,1105.0,5513.314304,5.5
