02_timing/forward_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB,memory/used_memory_sys_percent,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_fifteen_min_percent,_step,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,process/memory/shared_memory_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,cpu/logical_core_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,01_general/locally_processed_samples,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/loss_calc_time_s,disk/time/disk_read_time_sys_s,cpu/load/avg_sys_load_five_min_percent,_runtime,01_general/lr,03_hivemind/global_epoch,01_general/dataset_iteration_count,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,03_hivemind/num_peers,cpu/interrupts/interrupts_count,_timestamp,01_general/minibatch_loss,memory/available_memory_sys_MB,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,01_general/step,02_timing/step_time_s,02_timing/dataload_time_s,memory/total_memory_sys_MB,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent
0.02739172600013262,0.10366854699987016,6739.521536,28.2,0.0,46244.0,1.625,49,0.36599999999998545,0.006860858999971242,2394.341376,0.0,30.879246277210054,28125.745152,,0.33541501600029733,0.3120000000000118,4704.735232,1236.0,,0.0,0.6700770614071352,0.0007760989992675604,0.0,1.375,30,,,,78.0,0.420780946777404,,279239.0,1681079724.0,,22653.136896,0.0,6167.166976,2.654208,,,,,230.0,33108.0,5.5
,,,,,,,50,,,,,,,,,,,,640.0,,,,,,30,0.0001,0.0,0.0,,,6.0,,1681079724.0,7.40576171875,,,,,19.0,0.4785335899996426,0.004421343000103661,,,,
0.02599915999962832,0.10376555499988172,,,,,,51,,0.006826008999269106,,,,,,0.3370637200005149,,,,672.0,,,0.0007696530001339852,,,31,0.0001,0.0,0.0,,,6.0,,1681079725.0,7.202880859375,,,,,20.0,0.4788775600000008,0.00445346300057281,,,,
0.026884518000770186,,6739.316736,28.2,0.0,48034.0,1.625,52,0.3720000000002983,0.006833650999396923,2394.341376,0.0,24.62135173378791,28125.745152,,,0.3240000000000123,4704.739328,1255.0,,0.0,0.6351343008487212,0.0008899399999791058,0.0,1.375,31,,,,80.0,0.048961921513926115,,281359.0,1681079725.0,,22672.478208,0.0,6167.166976,2.654208,,,,,237.0,34354.0,5.5
,0.10326742100005504,,,,,,53,,,,,,,,0.334374537000258,,,,704.0,,,,,,31,0.0001,0.0,0.0,,,6.0,,1681079725.0,7.0963134765625,,,,,21.0,0.4767567410008269,0.004506674000367639,,,,
0.026500476999899547,,6738.563072,28.2,0.0,50175.0,1.7500000000000002,54,0.3779999999997017,0.0068240509999668575,2394.329088,0.0,42.25935213400778,28125.745152,,,0.3480000000000132,4704.743424,1270.0,,0.0,0.6520373074356745,0.0007094920001691207,0.0,1.625,32,,,,82.0,0.08573793404972913,,283991.0,1681079726.0,,22654.226432,0.0,6167.154688,2.654208,,,,,245.0,35998.0,6.125
,0.10405700299997989,,,,,,55,,,,,,,,0.3364031889996113,,,,736.0,,,,,,32,0.0001,0.0,0.0,,,6.0,,1681079726.0,7.0667724609375,,,,,22.0,0.4791630099998656,0.004668798000238894,,,,
0.026352224000220303,,6741.491712,28.2,0.0,51629.0,1.7500000000000002,56,0.38000000000010914,0.006816156999775558,2394.33728,0.0,47.8422954532245,28125.745152,,,0.35599999999999454,4704.74752,1280.0,,0.0,0.5544064998123599,0.000858972000060021,0.0,1.625,33,,,,83.0,0.008163236118841738,,286128.0,1681079727.0,,22651.16672,0.0,6167.166976,2.654208,,,,,247.0,37415.0,6.125
,0.10390876499968726,,,,,,57,,,,,,,,0.3359522950004248,,,,768.0,,,,,,33,0.0001,0.0,0.0,,,6.0,,1681079727.0,7.1168212890625,,,,,23.0,0.4781198670007143,0.004231454000546364,,,,
0.027434435000031954,0.10439326699997764,6739.10784,28.2,0.0,53315.0,1.7500000000000002,58,0.38100000000031287,0.006553178000103799,2394.324992,0.0,20.013286523987592,28125.745152,,0.3348889250000866,0.367999999999995,4704.74752,1305.0,,0.0,0.6330156454131779,0.0009192469997287844,0.0,1.625,34,,,,85.0,0.008168561395741698,,288129.0,1681079728.0,,22653.689856,0.0,6167.154688,2.654208,,,,,249.0,38659.0,6.125
