_runtime,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,_step,_timestamp,04_peers/peer_2_epoch,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s
114,,1.0,0.0,1.0,5.75,100.1,1529.3930160438244,0,864.0,11520.0,896.0,1529.3930160438244,3,,15193,,100.05,63,1681407150.0,1.0,,1,0.0,,,0.0,1329.88,15072,,11.49
115,,1.0,0.0,1.0,4.4,106.1,1751.5201540157427,0,992.0,13056.0,1024.0,1751.5201540157427,3,,17340,,106.52,64,1681407151.0,1.0,,1,0.0,,,0.0,1316.78,17120,,8.81
116,,1.0,0.0,1.0,3.77,110.53,1795.3800822822056,0,1120.0,14848.0,1152.0,1795.3800822822056,3,,19230,,111.36,65,1681407152.0,1.0,,1,0.0,,,0.0,1529.63,18912,,7.54
117,,1.0,0.0,1.0,3.7,113.49,1630.8279799749002,0,1248.0,16384.0,1280.0,1630.8279799749002,3,,20716,,114.63,66,1681407153.0,1.0,,1,0.0,,,0.0,1567.26,20448,,7.39
118,,1.0,0.0,1.0,3.1,115.69,1649.0740367029412,0,1376.0,17664.0,1408.0,1649.0740367029412,3,,22544,,116.76,67,1681407154.0,1.0,,1,0.0,,,0.0,1398.38,22240,,6.2
119,,1.0,0.0,1.0,2.2,117.0,1830.586251986335,0,1504.0,19200.0,1536.0,1830.586251986335,3,,24716,,118.22,68,1681407155.0,1.0,,1,0.0,,,0.0,1413.85,24288,,4.4
120,,1.0,0.0,1.0,1.71,117.95,1822.3062829852954,0,1632.0,20992.0,1664.0,1822.3062829852954,3,,26540,,119.24,69,1681407156.0,1.0,,1,0.0,,,0.0,1593.4,26336,,3.42
121,,1.0,0.0,1.0,1.43,118.54,1660.8994760811756,0,1760.0,22784.0,1792.0,1660.8994760811756,3,,28023,,119.93,70,1681407157.0,1.0,,1,0.0,,,0.0,1583.83,27872,,2.86
123,,1.0,0.0,1.0,0.99,118.83,1574.1167191257343,0,1888.0,24064.0,1920.0,1574.1167191257343,3,,29643,,120.3,71,1681407159.0,1.0,,1,0.0,,,0.0,1421.76,29408,,1.99
124,,1.0,0.0,1.0,0.5,119.12,1768.647046197529,0,2016.0,25344.0,2048.0,1768.647046197529,3,,31747,,120.67,72,1681407160.0,1.0,,1,0.0,,,0.0,1334.32,31456,,0.58
125,,1.0,0.0,1.0,0.5,119.25,1718.444690379196,0,2144.0,27136.0,2176.0,1718.444690379196,3,,33453,,120.75,73,1681407161.0,1.0,,1,0.0,,,0.0,1528.65,32672,,0.0
126,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,35256,,120.82,74,1681407162.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
127,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,37055,,120.82,75,1681407163.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
128,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,38865,,120.82,76,1681407164.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
