02_timing/step_time_s,memory/used_memory_sys_percent,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,01_general/lr,02_timing/loss_calc_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,process/memory/text_resident_set_proc_MB,03_hivemind/num_peers,02_timing/backward_time_s,memory/total_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,02_timing/forward_time_s,disk/time/disk_busy_time_sys_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,bandwidth/disk_write_sys_bandwidth_MBs,_runtime,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,cpu/interrupts/soft_interrupts_count,03_hivemind/global_epoch,process/involuntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,memory/available_memory_sys_MB,cpu/interrupts/interrupts_count,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,_step,01_general/step,cpu/logical_core_count,01_general/minibatch_loss,process/memory/resident_set_size_proc_MB,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,process/memory/data_resident_set_proc_MB,01_general/locally_processed_samples,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/dataload_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB
0.2033851560001949,,,,0.0001,0.0004029639999316714,,,,6.0,0.14074888300001476,,,,0.01713243600011083,,,,,21,,,,0.0,,,,,,0.0,50,28.0,,7.4713134765625,,0.003119723000054364,,,,928.0,,,1681394187.0,0.002822134000098231,0.03915901599998506,
0.20278969100036193,,,,0.0001,0.0003999210000529274,,,,6.0,0.14021646700007295,,,,0.016986563000045862,,,,,21,,,,0.0,,,,,,0.0,51,29.0,,7.1494140625,,0.0030310460001601314,,,,960.0,,,1681394187.0,0.002878919000067981,0.03927677499996207,
,5.4,6739.542016,0.6,,0.0003759670000818005,99.45478829547989,0.7000000000000001,2.719744,,,,0.0,0.8666666666666666,0.016876961999969353,0.30800000000000693,73771.0,370.0,0.01634941690417091,21,0.017000000000000348,0.2720000000000482,77227.0,,137.0,32102.875136,199764.02944,1002941.0,61.0,,52,,,,6554.497024,0.0030439500001193665,1396.0,2451.8656,0.0,,0.0,1.6721270339038836,1681394187.0,,,7885.799424
0.20292621600015082,,,,0.0001,,,,,6.0,0.14088155000013103,,,,,,,,,22,,,,0.0,,,,,,0.0,53,30.0,,7.177978515625,,,,,,992.0,,,1681394188.0,0.00270533399998385,0.03904245299986542,
0.20106010799986507,,,,0.0001,0.0004063719998157467,,,,6.0,0.13891168600002857,,,,0.017150239999864425,,,,,22,,,,0.0,,,,,,0.0,54,31.0,,7.30322265625,,0.0030544520000148623,,,,1024.0,,,1681394188.0,0.0025409930001387693,0.0389963650000027,
0.20305491200042525,,,,0.0001,0.0003692279999540915,,,,6.0,0.14074292899999818,,,,0.01695980500016958,,,,,22,,,,0.0,,,,,,0.0,55,32.0,,7.3575439453125,,0.0030620300001373835,,,,1056.0,,,1681394188.0,0.002702272000078665,0.03921864800008734,
,5.4,6739.546112,0.6,,0.00038348099997165264,96.48415193295686,0.7000000000000001,2.719744,,,,0.0,0.8666666666666666,0.016932199999928343,0.32800000000000296,77477.0,378.0,0.07765973028392092,22,0.017000000000000348,0.27600000000001046,81772.0,,142.0,32102.875136,199758.168064,1007188.0,61.0,,56,,,,6554.468352,0.003072222999890073,1427.0,2451.828736,0.0,,0.0,1.512504675040024,1681394188.0,,,7892.123648
0.20538302699992528,,,,0.0001,,,,,6.0,0.14301092000005156,,,,,,,,,23,,,,0.0,,,,,,0.0,57,33.0,,7.06396484375,,,,,,1088.0,,,1681394189.0,0.0029145900000457914,0.03906961300003786,
0.2042343510001956,,,,0.0001,0.0003796860000875313,,,,6.0,0.14214402199991127,,,,0.016940394000130254,,,,,23,,,,0.0,,,,,,0.0,58,34.0,,7.3204345703125,,0.0031232050000653544,,,,1120.0,,,1681394189.0,0.002491448999990098,0.03915559500001109,
0.20372634499972264,,,,0.0001,0.00038071199992373295,,,,6.0,0.1410496849998708,,,,0.01708444199994119,,,,,23,,,,0.0,,,,,,0.0,59,35.0,,7.063232421875,,0.0030654820000108884,,,,1152.0,,,1681394189.0,0.002795244000026287,0.039350779999949737,
