_runtime,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,03_hivemind/epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_samples_accumulated,_step,_timestamp,03_hivemind/reached_TBS,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/total_training_samples
138,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,76,1680688133.0,,22624,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
139,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,77,1680688134.0,,24093,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
140,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,78,1680688135.0,,25565,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
141,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,79,1680688136.0,,27034,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
142,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,80,1680688137.0,,28497,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
143,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,81,1680688138.0,,29957,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
144,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,82,1680688139.0,,31419,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
145,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,83,1680688140.0,,32881,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
146,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,84,1680688141.0,,34342,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
147,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,85,1680688142.0,,35802,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
148,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,86,1680688143.0,,37265,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
149,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,87,1680688144.0,,38725,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
150,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,88,1680688145.0,,40187,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
151,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,89,1680688146.0,,41653,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
152,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,90,1680688147.0,,43125,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
154,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,91,1680688149.0,,44585,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
155,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,92,1680688150.0,,46049,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
156,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,93,1680688151.0,,47509,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
157,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,94,1680688152.0,,48985,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
158,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,95,1680688153.0,,50458,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
159,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,96,1680688154.0,,51919,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
160,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,97,1680688155.0,,53380,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
161,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,98,1680688156.0,,54841,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
162,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,99,1680688157.0,,56303,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
163,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,100,1680688158.0,,57764,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
164,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,101,1680688159.0,,59225,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
165,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,102,1680688160.0,,60687,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
166,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,103,1680688161.0,,62150,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
167,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,104,1680688162.0,,63613,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
168,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,105,1680688163.0,,65089,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
169,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,106,1680688164.0,,66549,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
170,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,107,1680688165.0,,68013,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
171,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,108,1680688166.0,,69474,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
172,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,109,1680688167.0,,70943,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
173,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,110,1680688168.0,,72414,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
174,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,111,1680688169.0,,73883,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
175,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,112,1680688170.0,,75347,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
176,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,113,1680688171.0,,76807,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
177,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,114,1680688172.0,,78277,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
178,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,115,1680688173.0,,79741,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
179,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,116,1680688174.0,,81213,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
180,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,117,1680688175.0,,82681,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
181,0.0,2,,,0.5,737.47,,3.0,,3.0,0.0,,697.85,0.0,0.0,118,1680688176.0,,84151,1435.3201983458412,1435.3201983458412,0,3,0.0,0,
