_timestamp,03_hivemind/overshot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/next_fetch_time_s,_step,04_peers/peer_1_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated
1681401950.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,99948,128,0.0,,244.58,32672,0.5,59,0.0,,1485.05,10144.0,22528.0
1681401952.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,102002,130,0.0,,244.58,32672,0.5,60,0.0,,1485.05,10144.0,22528.0
1681401953.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,104055,131,0.0,,244.58,32672,0.5,61,0.0,,1485.05,10144.0,22528.0
1681401954.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,106116,132,0.0,,244.58,32672,0.5,62,0.0,,1485.05,10144.0,22528.0
1681401955.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,108183,133,0.0,,244.58,32672,0.5,63,0.0,,1485.05,10144.0,22528.0
1681401956.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,110247,134,0.0,,244.58,32672,0.5,64,0.0,,1485.05,10144.0,22528.0
1681401958.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,112304,136,0.0,,244.58,32672,0.5,65,0.0,,1485.05,10144.0,22528.0
1681401959.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,114355,137,0.0,,244.58,32672,0.5,66,0.0,,1485.05,10144.0,22528.0
1681401963.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,121597,141,0.0,,244.58,32672,0.5,67,0.0,,1485.05,10144.0,22528.0
1681401964.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,123652,142,0.0,,244.58,32672,0.5,68,0.0,,1485.05,10144.0,22528.0
1681401965.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,125704,143,0.0,,244.58,32672,0.5,69,0.0,,1485.05,10144.0,22528.0
1681401967.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,127761,145,0.0,,244.58,32672,0.5,70,0.0,,1485.05,10144.0,22528.0
1681401968.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,129808,146,0.0,,244.58,32672,0.5,71,0.0,,1485.05,10144.0,22528.0
1681401969.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,131855,147,0.0,,244.58,32672,0.5,72,0.0,,1485.05,10144.0,22528.0
1681401970.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,133905,148,0.0,,244.58,32672,0.5,73,0.0,,1485.05,10144.0,22528.0
1681401971.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,135956,149,0.0,,244.58,32672,0.5,74,0.0,,1485.05,10144.0,22528.0
1681401972.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,138006,150,0.0,,244.58,32672,0.5,75,0.0,,1485.05,10144.0,22528.0
1681401974.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,140062,152,0.0,,244.58,32672,0.5,76,0.0,,1485.05,10144.0,22528.0
1681401975.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,142126,153,0.0,,244.58,32672,0.5,77,0.0,,1485.05,10144.0,22528.0
1681401976.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,144166,154,0.0,,244.58,32672,0.5,78,0.0,,1485.05,10144.0,22528.0
1681401977.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,146217,155,0.0,,244.58,32672,0.5,79,0.0,,1485.05,10144.0,22528.0
1681401978.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,148265,156,0.0,,244.58,32672,0.5,80,0.0,,1485.05,10144.0,22528.0
1681401980.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,150315,158,0.0,,244.58,32672,0.5,81,0.0,,1485.05,10144.0,22528.0
1681401981.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,152382,159,0.0,,244.58,32672,0.5,82,0.0,,1485.05,10144.0,22528.0
1681401982.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,154439,160,0.0,,244.58,32672,0.5,83,0.0,,1485.05,10144.0,22528.0
