03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
55977,2016.8854765110189,8,32928,45,0.0,148,1,0.5,2016.8854765110189,1683053168,0,4128.0,252.27,4160.0,1.0,1.0,0.0,1.0,4128.0,0.0,252.53,253.85,0.0,251.3,4128.0,1.0,0.0,253.21,4192.0,1.0,0.0,4096.0,250.7,1.0,0.0,1.0,250.71,4096.0,0.0,252.32,4000.0,1.0,0.0,,,,,,,
58813,2016.8854765110189,8,32928,46,0.0,150,1,0.5,2016.8854765110189,1683053170,0,4128.0,252.27,4160.0,1.0,1.0,0.0,1.0,4128.0,0.0,252.53,253.85,0.0,251.3,4128.0,1.0,0.0,253.21,4192.0,1.0,0.0,4096.0,250.7,1.0,0.0,1.0,250.71,4096.0,0.0,252.32,4000.0,1.0,0.0,,,,,,,
61674,2016.8854765110189,8,32928,47,0.0,151,1,0.5,2016.8854765110189,1683053171,0,4128.0,252.27,4160.0,1.0,1.0,0.0,1.0,4128.0,0.0,252.53,253.85,0.0,251.3,4128.0,1.0,0.0,253.21,4192.0,1.0,0.0,4096.0,250.7,1.0,0.0,1.0,250.71,4096.0,0.0,252.32,4000.0,1.0,0.0,,,,,,,
2464,1862.1257162120874,8,2112,48,16.27,152,2,10.0,1862.1257162120874,1683053172,0,4128.0,252.27,4160.0,1.0,1.0,0.0,1.0,4128.0,0.0,252.53,253.85,0.0,251.3,4128.0,1.0,0.0,253.21,4192.0,1.0,0.0,4096.0,250.7,1.0,0.0,1.0,250.71,4096.0,0.0,252.32,4000.0,1.0,0.0,,,,,,,
5312,1968.1176553197763,8,4928,49,13.95,154,2,10.0,1968.1176553197763,1683053174,0,256.0,232.57,288.0,2.0,2.0,0.0,2.0,256.0,0.0,235.06,233.93,0.0,233.64,256.0,2.0,0.0,237.74,288.0,2.0,0.0,256.0,226.5,2.0,0.0,2.0,232.48,256.0,0.0,230.22,256.0,2.0,0.0,31.47614308539778,0.0,65824.0,32928.0,0.0,1046.1256295176697,2.0
8159,2002.7376175520026,8,7744,50,12.29,155,2,8.94,2002.7376175520026,1683053175,0,608.0,246.3,640.0,2.0,2.0,0.0,2.0,608.0,0.0,247.34,247.02,0.0,246.0,608.0,2.0,0.0,249.04,640.0,2.0,0.0,608.0,242.16,2.0,0.0,2.0,245.44,608.0,0.0,244.81,608.0,2.0,0.0,,,,,,,
10975,2012.1507705380166,8,10528,51,10.83,157,2,7.88,2012.1507705380166,1683053177,0,960.0,250.62,992.0,2.0,2.0,0.0,2.0,960.0,0.0,251.62,251.37,0.0,249.76,960.0,2.0,0.0,252.3,992.0,2.0,0.0,960.0,248.93,2.0,0.0,2.0,249.63,960.0,0.0,248.51,960.0,2.0,0.0,,,,,,,
13783,2017.3483616237518,8,13344,52,9.41,158,2,6.84,2017.3483616237518,1683053178,0,1312.0,252.01,1344.0,2.0,2.0,0.0,2.0,1312.0,0.0,252.69,252.69,0.0,251.15,1312.0,2.0,0.0,253.32,1344.0,2.0,0.0,1312.0,250.6,2.0,0.0,2.0,250.89,1312.0,0.0,248.8,1280.0,2.0,0.0,,,,,,,
16624,2018.464895847498,8,16224,53,8.0,159,2,5.82,2018.464895847498,1683053179,0,1664.0,252.57,1696.0,2.0,2.0,0.0,2.0,1664.0,0.0,253.34,253.42,0.0,251.29,1664.0,2.0,0.0,253.53,1696.0,2.0,0.0,1664.0,251.25,2.0,0.0,2.0,251.29,1664.0,0.0,250.66,1632.0,2.0,0.0,,,,,,,
19457,2018.7968099969696,8,19104,54,6.59,161,2,4.8,2018.7968099969696,1683053181,0,2048.0,252.32,2048.0,2.0,2.0,0.0,2.0,2016.0,0.0,252.99,253.39,0.0,251.54,2016.0,2.0,0.0,254.02,2080.0,2.0,0.0,2016.0,251.26,2.0,0.0,2.0,251.39,2016.0,0.0,251.56,1984.0,2.0,0.0,,,,,,,
