process/memory/data_resident_set_proc_MB,01_general/step,01_general/locally_processed_samples,_runtime,02_timing/forward_time_s,01_general/dataset_iteration_count,memory/used_memory_sys_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,02_timing/opt_step_time_s,process/memory/dirty_pages_proc_count,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,cpu/interrupts/ctx_switches_count,cpu/logical_core_count,_step,disk/counter/disk_read_sys_count,_timestamp,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,cpu/load/avg_sys_load_five_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_write_time_sys_s,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,process/memory/virtual_memory_size_proc_MB,02_timing/step_time_s,02_timing/loss_calc_time_s,01_general/minibatch_loss,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/backward_time_s,memory/used_memory_sys_MB,process/memory/lib_memory_proc_MB,02_timing/dataload_time_s,01_general/lr,03_hivemind/num_peers,process/voluntary_proc_ctx_switches,process/involuntary_proc_ctx_switches,memory/available_memory_sys_MB,cpu/load/avg_sys_load_one_min_percent,02_timing/dataload_cuda_move_time_s,03_hivemind/global_epoch,cpu/interrupts/interrupts_count,cpu/interrupts/soft_interrupts_count,process/memory/resident_set_size_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs
0.0,,,43,,,19.1,0.004084467133167712,2.654208,,0.0,3.1950000000000003,1019.0,183790.0,,44,4585.0,1696169624.0,,5.36399999999999,5.25,4.125,37.71900000000005,0.014670576289561064,1285.267456,30892.11392,,,,0.11335194045477594,,5162.364928,3916.505088,,,,7114.0,59.0,25519.49312,5.5,,,206706.0,72431.0,4242.804736,0.0
0.0,,,44,,,19.1,0.004085008093133512,2.654208,,0.0,3.1950000000000003,1020.0,184855.0,,45,4586.0,1696169625.0,,5.375999999999991,5.25,4.125,37.720000000000255,0.22603179543494073,1285.267456,30892.11392,,,,0.2681265272629913,,5163.470848,3916.505088,,,,7114.0,59.0,25518.399488,5.5,,,207714.0,73061.0,4242.804736,0.057190113295932446
0.0,,,45,,,19.7,0.004087447582820543,2.654208,,0.0,3.1950000000000003,1021.0,220264.0,,46,4586.0,1696169626.0,,5.3799999999999955,5.25,4.125,37.720000000000255,684.493520145541,1285.267456,30892.11392,,,,570.8518835251406,,5351.624704,3916.505088,,,,7114.0,59.0,25330.25792,5.5,,,232389.0,82179.0,4242.804736,0.0
0.0,,,46,,,19.9,0.01633713832540111,2.654208,,0.0,3.1950000000000003,1024.0,262378.0,,47,4586.0,1696169627.0,,5.387999999999991,5.25,4.125,37.722999999999956,280.2736591332804,1285.267456,30892.11392,,,,465.9584941667804,,5398.831104,3916.505088,,,,7114.0,59.0,25283.05152,5.5,,,260964.0,92063.0,4242.804736,0.0
0.0,,,47,,,19.9,0.03267020679046356,2.654208,,0.0,3.1950000000000003,1027.0,293409.0,,48,4586.0,1696169628.0,,5.395999999999987,5.25,4.125,37.72499999999991,111.05911372827376,1285.267456,30892.11392,,,,37.104708795779466,,5398.679552,3916.505088,,,,7114.0,59.0,25283.182592,5.5,,,286519.0,103233.0,4242.804736,0.0
,1.0,40.0,47,,0.0,,,,21.440856002999908,,,,,,49,,1696169628.0,,,,,,,,,21.68830190099993,,2.6400954723358154,,,,,0.007789873000092484,0.0001,3.0,,,,,,2.0,,,,
0.0,,,48,0.2121326820001741,,19.9,0.008177694944706923,2.654208,,0.0,3.1950000000000003,1029.0,321568.0,,50,4586.0,1696169629.0,,5.407999999999987,5.625,4.25,37.72699999999986,12.668559179351536,1285.541888,31213.338624,,0.00045991600018169265,,12.258620276091213,0.026597572999889962,5436.280832,3950.616576,,,,7215.0,86.0,25264.820224,7.000000000000001,0.007052511999972921,,311632.0,115851.0,4245.180416,0.0
0.0,,,49,,,20.2,0.004084945929075803,2.654208,,0.0,3.1950000000000003,1030.0,326649.0,,51,4586.0,1696169630.0,,5.415999999999997,5.625,4.25,37.728000000000065,0.9452341483069973,1285.541888,31213.600768,,,,2.6074800263987914,,5510.3488,3950.936064,,,,7226.0,87.0,25190.752256,7.000000000000001,,,315946.0,117812.0,4245.516288,0.0
0.0,,,50,,,19.8,0.004084615714240526,2.654208,,0.0,3.1950000000000003,1031.0,330512.0,,52,4586.0,1696169631.0,,5.423999999999992,5.625,4.25,37.72900000000027,0.4589528464657977,1285.541888,31213.600768,,,,1.246557702585325,,5388.402688,3950.936064,,,,7226.0,87.0,25293.479936,7.000000000000001,,,319095.0,119227.0,4245.516288,0.0
0.0,,,51,,,19.8,0.004085001292033443,2.654208,,0.0,3.1950000000000003,1032.0,333719.0,,53,4586.0,1696169632.0,,5.431999999999988,5.625,4.25,37.72900000000027,0.3799849054565208,1285.541888,31213.600768,,,,1.1020088840429385,,5387.452416,3950.936064,,,,7226.0,87.0,25294.430208,7.000000000000001,,,321466.0,120217.0,4245.516288,0.0
