03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
31739,2138.287267597309,4,0,70,0.48,126,4,0.5,2138.287267597309,1683047687,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
33930,2138.287267597309,4,0,71,0.0,127,4,0.5,2138.287267597309,1683047688,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
36125,2138.287267597309,4,0,72,0.0,128,4,0.5,2138.287267597309,1683047689,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
38317,2138.287267597309,4,0,73,0.0,129,4,0.5,2138.287267597309,1683047690,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
40513,2138.287267597309,4,0,74,0.0,130,4,0.5,2138.287267597309,1683047691,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
42710,2138.287267597309,4,0,75,0.0,131,4,0.5,2138.287267597309,1683047692,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
44924,2138.287267597309,4,0,76,0.0,132,4,0.5,2138.287267597309,1683047693,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
47113,2138.287267597309,4,0,77,0.0,133,4,0.5,2138.287267597309,1683047694,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
49302,2138.287267597309,4,0,78,0.0,134,4,0.5,2138.287267597309,1683047695,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
51499,2138.287267597309,4,0,79,0.0,135,4,0.5,2138.287267597309,1683047696,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
53689,2138.287267597309,4,0,80,0.0,136,4,0.5,2138.287267597309,1683047697,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
55891,2138.287267597309,4,0,81,0.0,137,4,0.5,2138.287267597309,1683047698,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
58082,2138.287267597309,4,0,82,0.0,138,4,0.5,2138.287267597309,1683047699,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
60270,2138.287267597309,4,0,83,0.0,139,4,0.5,2138.287267597309,1683047700,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
62457,2138.287267597309,4,0,84,0.0,140,4,0.5,2138.287267597309,1683047701,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
64655,2138.287267597309,4,0,85,0.0,141,4,0.5,2138.287267597309,1683047702,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
66849,2138.287267597309,4,0,86,0.0,142,4,0.5,2138.287267597309,1683047703,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
69092,2138.287267597309,4,0,87,0.0,143,4,0.5,2138.287267597309,1683047704,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
71281,2138.287267597309,4,0,88,0.0,144,4,0.5,2138.287267597309,1683047705,0,0.0,4.0,531.08,0.0,541.99,0.0,534.77,0.0,4.0,0.0,4.0,4.0,0.0,0.0,530.45,0.0,,,,,,,
