01_general/locally_processed_samples,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_timestamp,disk/time/disk_write_time_sys_s,02_timing/dataload_time_s,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,01_general/dataset_iteration_count,cpu/interrupts/interrupts_count,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,disk/time/disk_read_time_sys_s,cpu/logical_core_count,memory/used_memory_sys_MB,process/voluntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,02_timing/step_time_s,memory/total_memory_sys_MB,memory/available_memory_sys_MB,disk/counter/disk_write_sys_count,process/memory/shared_memory_proc_MB,01_general/lr,01_general/step,03_hivemind/num_peers,02_timing/forward_time_s,03_hivemind/global_epoch,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/opt_step_time_s,_step,disk/time/disk_busy_time_sys_s,process/involuntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,process/memory/lib_memory_proc_MB,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,_runtime
8022.0,,,,,1681394266.0,,0.020360412003356032,,,,1.0,,,,,,,,,,0.7571326770048472,,,,,0.0001,3.0,9.0,0.571808886998042,1.0,7.2247314453125,0.12429680999775883,0.006214583001565188,134,,,,0.007514561002608389,,,,0.026937424001516774,,,101
,1390956.0,824.6171273169028,0.0,0.35000000000000003,1681394266.0,0.03999999999999915,,0.0,10890.940416,2.854912,,5202280.0,0.0,0.6,146001.051648,0.0,,21642.952704,6540.0,0.0,,,512477.364224,230.0,3370.377216,,,,,,,,,135,0.12000000000000455,675.0,3.1283615088881938,,5.3,2748737.0,13245.8496,0.0264813760004472,1.7000000000000002,0.0,101
8278.0,,,,,1681394267.0,,0.020296517002861947,,,,1.0,,,,,,,,,,0.6197480839982745,,,,,0.0001,4.0,9.0,0.44167790500068804,1.0,7.2171173095703125,0.11878418299602345,0.0055660829966655,136,,,,0.006942020001588389,,,,,,,102
,1414212.0,560.8614342898766,0.0,0.35000000000000003,1681394267.0,0.03999999999999915,,0.0,10893.848576,2.854912,,5216050.0,0.0,0.6,146342.920192,0.0,,21341.63456,6604.0,0.0,,,512471.379968,230.0,3373.28128,,,,,,,,,137,0.12000000000000455,751.0,3.1760043087096004,,5.3,2782470.0,13279.404032,0.03183793300559046,1.7000000000000002,0.0,102
8534.0,,,,,1681394268.0,,0.01741020900226431,,,,1.0,,,,,,,,,,0.6178314580101869,,,,,0.0001,5.0,9.0,0.4360573270023451,1.0,7.1809234619140625,0.1205237690010108,0.005636205001792405,138,,,,0.006366014997183811,,,,,,,103
,1440894.0,524.7189028911112,0.0,0.35000000000000003,1681394268.0,0.04099999999999682,,0.0,10893.807616,2.854912,,5232181.0,0.0,0.6,146155.200512,0.0,,21346.500608,6651.0,0.0,,,512157.863936,231.0,3373.273088,,,,0.447031749994494,,,0.12467262700374704,0.005419922999863047,139,0.12399999999999523,809.0,2.8694179922089513,0.006868312004371546,5.3,2830628.0,13245.8496,0.03563488299550954,1.7000000000000002,0.004080950033289296,103
8790.0,,,,,1681394268.0,,0.02396798300469527,,,,1.0,,,,,,,,,,0.6435954780026805,,,,,0.0001,6.0,9.0,,1.0,7.184425354003906,,,140,,,,,,,,,,,103
9046.0,,,,,1681394269.0,,0.0192611910024425,,,,1.0,,,,,,,,,,0.7135073959943838,,,,,0.0001,7.0,9.0,0.5338019719929434,1.0,7.292724609375,0.11297389199899044,0.009191103003104217,141,,,,0.00614859200140927,,,,0.03213064599549398,,,104
,1458974.0,381.1637466097409,0.0,0.35000000000000003,1681394269.0,0.04099999999999682,,0.0,10893.840384,2.854912,,5246826.0,0.0,0.6,146155.200512,0.0,,21346.922496,6723.0,0.0,,,512157.442048,232.0,3373.273088,,,,,,,,,142,0.1279999999999859,816.0,2.9160686787685517,,5.3,2868177.0,13245.8496,0.03104599899961613,1.7000000000000002,0.020407474542862614,104
9302.0,,,,,1681394270.0,,0.016819910000776872,,,,1.0,,,,,,,,,,0.5946441179985413,,,,,0.0001,8.0,9.0,0.420049153995933,1.0,7.133270263671875,0.1164803639985621,0.005157362000318244,143,,,,0.005091329003334977,,,,,,,105
