process/memory/text_resident_set_proc_MB,01_general/lr,process/voluntary_proc_ctx_switches,_step,memory/used_memory_sys_MB,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_five_min_percent,_runtime,02_timing/forward_time_s,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,01_general/dataset_iteration_count,_timestamp,01_general/step,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_one_min_percent,process/memory/resident_set_size_proc_MB,memory/available_memory_sys_MB,02_timing/dataload_time_s,02_timing/opt_step_time_s,01_general/minibatch_loss,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,process/memory/virtual_memory_size_proc_MB,disk/time/disk_write_time_sys_s,process/memory/shared_memory_proc_MB,disk/time/disk_busy_time_sys_s,process/memory/data_resident_set_proc_MB,02_timing/backward_time_s,memory/used_memory_sys_percent,cpu/interrupts/soft_interrupts_count,process/memory/lib_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/step_based_sps,bandwidth/disk_read_sys_bandwidth_MBs,02_timing/step_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,bandwidth/net_sent_sys_bandwidth_Mbits,bandwidth/disk_write_sys_bandwidth_MBs,memory/total_memory_sys_MB,cpu/logical_core_count,process/involuntary_proc_ctx_switches
,0.0001,,46,,0.0012216029999763123,,22,0.1689667600003304,,0.0010804379999171942,,0.0,1696189399.0,24.0,,,,,0.001416578999851481,1.5810001059435308e-06,2.1263558864593506,,,75.0,,,,,,0.06747299200014822,,,,,12.491674663160362,,0.24015995300032955,,,,,,,
2.654208,,440.0,47,4236.484608,0.0012514600002759835,10.625,22,0.16883143299946823,25554.0,0.0011890910000147414,0.0,,1696189399.0,,0.0,11.375,3695.960064,26830.21312,,2.0679999579442665e-06,,13.0,12295.0,,28179.308544,0.10199999999986176,969.478144,0.2720000000000198,0.0,0.05124952799997118,15.0,12227.0,3593.183232,0.009855267278520699,,0.0,,0.0,123.0,0.07225866009181517,0.012257239306125267,,,58.0
,0.0001,,48,,,,22,,,,,0.0,1696189399.0,25.0,,,,,0.0015496250007345225,,3.269476890563965,,,78.0,,,,,,,,,,,13.388481679433031,,0.2240732050004226,,,,,,,
,0.0001,,49,,0.001286167999751342,,23,0.16940540199993848,,0.0010721310000008089,,0.0,1696189400.0,26.0,,,,,0.0014688350001961226,2.089999725285452e-06,3.549403667449951,,,81.0,,,,,,0.05215463300010015,,,,,13.31030597160724,,0.22538925899971218,,,,,,,
2.654208,,458.0,50,4237.512704,0.0012710379996860866,10.625,23,0.16826792099982413,26737.0,0.001025587999720301,0.0,,1696189400.0,,0.0,11.375,3696.021504,26829.2096,,1.9480003174976446e-06,,13.0,12762.0,,28179.308544,0.10500000000001819,969.539584,0.2839999999999918,0.0,0.06850832899999659,15.0,12664.0,3593.183232,0.0,,0.0,,0.0,126.0,0.0,0.012257288861971914,,,58.0
,0.0001,,51,,,,23,,,,,0.0,1696189400.0,27.0,,,,,0.001478266999583866,,2.1791868209838867,,,84.0,,,,,,,,,,,12.471259411132943,,0.24055309099912847,,,,,,,
,0.0001,,52,,0.0012248160001036013,,24,0.16769397699954425,,0.0010613820004437002,,0.0,1696189401.0,28.0,,,,,0.001350352000372368,1.9210001482861117e-06,2.378486156463623,,,87.0,,,,,,0.054448080999463855,,,,,13.287239662721268,,0.22578052900007606,,,,,,,
2.654208,,478.0,53,4238.761984,0.001220257000568381,10.625,24,0.16927760999988095,27971.0,0.0010684150001907256,0.0,,1696189401.0,,0.0,11.375,3696.021504,26827.956224,,2.056999619526323e-06,,13.0,13279.0,,28179.308544,0.1069999999999709,969.539584,0.29599999999999227,0.0,0.05332042200006981,15.0,13190.0,3593.183232,0.010814360915203727,,0.0,,0.0,129.0,0.07226866296038369,0.012258936093107426,,,60.0
,0.0001,,54,,,,24,,,,,0.0,1696189401.0,29.0,,,,,0.0016132619994095876,,2.851060152053833,,,90.0,,,,,,,,,,,13.244914814749611,,0.22650202299973898,,,,,,,
,0.0001,,55,,0.0012234679998073261,,25,0.16645002200039016,,0.0011477600000944221,,0.0,1696189402.0,30.0,,,,,0.0015151809993767529,1.913000232889317e-06,1.955939769744873,,,93.0,,,,,,0.06055560099957802,,,,,12.99297822646134,,0.23089394499947957,,,,,,,
,0.0001,,56,,0.0013071430003037676,,25,0.16913224099971558,,0.0012252010001247982,,0.0,1696189402.0,31.0,,,,,0.0018649430003279122,2.237999979115557e-06,2.510053873062134,,,96.0,,,,,,0.0549892050003109,,,,,13.127898008056318,,0.22852097100076207,,,,,,,
