03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/num_clients,03_hivemind/next_fetch_time_s,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch_oos
2,3.0,937.1474091923542,137,0.0,3.0,3,,433.38,0,0.5,,,,21243,0,,0.0,503.76,0.0,81,,0.0,,937.1474091923542,1680688981.0,0.0
2,3.0,937.1474091923542,138,0.0,3.0,3,,433.38,0,0.5,,,,22195,0,,0.0,503.76,0.0,82,,0.0,,937.1474091923542,1680688982.0,0.0
2,3.0,937.1474091923542,139,0.0,3.0,3,,433.38,0,0.5,,,,23150,0,,0.0,503.76,0.0,83,,0.0,,937.1474091923542,1680688983.0,0.0
2,3.0,937.1474091923542,140,0.0,3.0,3,,433.38,0,0.5,,,,24104,0,,0.0,503.76,0.0,84,,0.0,,937.1474091923542,1680688984.0,0.0
2,3.0,937.1474091923542,141,0.0,3.0,3,,433.38,0,0.5,,,,25058,0,,0.0,503.76,0.0,85,,0.0,,937.1474091923542,1680688985.0,0.0
2,3.0,937.1474091923542,142,0.0,3.0,3,,433.38,0,0.5,,,,26015,0,,0.0,503.76,0.0,86,,0.0,,937.1474091923542,1680688986.0,0.0
2,3.0,937.1474091923542,143,0.0,3.0,3,,433.38,0,0.5,,,,26970,0,,0.0,503.76,0.0,87,,0.0,,937.1474091923542,1680688987.0,0.0
2,3.0,937.1474091923542,144,0.0,3.0,3,,433.38,0,0.5,,,,27924,0,,0.0,503.76,0.0,88,,0.0,,937.1474091923542,1680688988.0,0.0
2,3.0,937.1474091923542,145,0.0,3.0,3,,433.38,0,0.5,,,,28879,0,,0.0,503.76,0.0,89,,0.0,,937.1474091923542,1680688989.0,0.0
2,3.0,937.1474091923542,146,0.0,3.0,3,,433.38,0,0.5,,,,29832,0,,0.0,503.76,0.0,90,,0.0,,937.1474091923542,1680688990.0,0.0
2,3.0,937.1474091923542,147,0.0,3.0,3,,433.38,0,0.5,,,,30789,0,,0.0,503.76,0.0,91,,0.0,,937.1474091923542,1680688991.0,0.0
2,3.0,937.1474091923542,148,0.0,3.0,3,,433.38,0,0.5,,,,31745,0,,0.0,503.76,0.0,92,,0.0,,937.1474091923542,1680688992.0,0.0
2,3.0,937.1474091923542,149,0.0,3.0,3,,433.38,0,0.5,,,,32699,0,,0.0,503.76,0.0,93,,0.0,,937.1474091923542,1680688993.0,0.0
