process/voluntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,_runtime,03_hivemind/global_epoch,02_timing/dataload_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,disk/time/disk_read_time_sys_s,process/memory/dirty_pages_proc_count,cpu/load/avg_sys_load_five_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,_timestamp,01_general/lr,02_timing/step_time_s,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/locally_processed_samples,process/memory/shared_memory_proc_MB,_step,01_general/step,cpu/logical_core_count,02_timing/forward_time_s,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,01_general/minibatch_loss,cpu/interrupts/soft_interrupts_count,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/backward_time_s,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/opt_step_time_s,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB
,,,,,7,0.0,0.0102774980000504,,,,,,,,1680687172.0,0.0001,0.049533993000295595,0.00023193100003027212,,,0.0,,1408.0,,52,43.0,,0.018407833000082974,,0.0022693220000746805,,,7.173583984375,,,,0.016694289000042772,,,,,2.0,0.0016531200000144963,,
,,,,,8,0.0,0.0007713009999861242,,,,,,,,1680687173.0,0.0001,0.039513682000006156,0.00017690599997877143,,,0.0,,1440.0,,53,44.0,,0.018161329000008664,,0.0023736279999866383,,,6.8638916015625,,,,0.01641810599994642,,,,,2.0,0.001612412000099539,,
,,,,,8,0.0,0.008690892999993594,,,,,,,,1680687173.0,0.0001,0.04809548799994445,0.00021903000003931083,,,0.0,,1472.0,,54,45.0,,0.018425554000032207,,0.002227367000045888,,,7.1690673828125,,,,0.01689164999993409,,,,,2.0,0.001640993999899365,,
,,,,,8,0.0,0.0008158480000020063,,,,,,,,1680687173.0,0.0001,0.04089229399994565,0.00018448399998760578,,,0.0,,1504.0,,55,46.0,,0.01929400500000611,,0.0024144559999967896,,,7.06787109375,,,,0.016565455999966616,,,,,2.0,0.0016180449999865232,,
,,,,,8,0.0,0.020647427000085372,,,,,,,,1680687173.0,0.0001,0.060144734000004973,0.00021585799993317778,,,0.0,,1536.0,,56,47.0,,0.01849123299996336,,0.002334045999987211,,,7.10302734375,,,,0.016823932999955105,,,,,2.0,0.0016322370000807496,,
,,,,,8,0.0,0.0007664299999987634,,,,,,,,1680687173.0,0.0001,0.03956830399988576,0.00017865099994196498,,,0.0,,1568.0,,57,48.0,,0.018203278999976646,,0.0024354419999781385,,,6.943603515625,,,,0.016387877999932243,,,,,2.0,0.001596624000058,,
,,,,,8,0.0,0.013601659999949334,,,,,,,,1680687173.0,0.0001,0.0532195609999917,0.00020915100003549014,,,0.0,,1600.0,,58,49.0,,0.018568089000041255,,0.00239734900003441,,,7.23486328125,,,,0.0167680479999035,,,,,2.0,0.0016752640000277097,,
,,,,,8,0.0,0.0011418379999668105,,,,,,,,1680687173.0,0.0001,0.040265271999828656,0.0001994340000237571,,,0.0,,1632.0,,59,50.0,,0.018336204999968686,,0.0023787409999158626,,,7.1533203125,,,,0.01664494800002103,,,,,2.0,0.001564105999932508,,
,,,,,8,0.0,0.01540231000001313,,,,,,,,1680687173.0,0.0001,0.05446823399995537,0.00022209500002645655,,,0.0,,1664.0,,60,51.0,,0.018449581000027138,,0.002294893999987835,,,7.106689453125,,,,0.016462758999978178,,,,,2.0,0.001636594999922636,,
,,,,,8,0.0,0.0007762230000025738,,,,,,,,1680687173.0,0.0001,0.039723790000039116,0.00017189900006542302,,,0.0,,1696.0,,61,52.0,,0.01811804299995856,,0.0023911560000442478,,,7.0123291015625,,,,0.01641825899992,,,,,2.0,0.0018482100000483115,,
,,,,,8,0.0,0.018496654999921702,,,,,,,,1680687173.0,0.0001,0.05754612999987785,0.000214378000009674,,,0.0,,1728.0,,62,53.0,,0.018453269000019645,,0.002333365000026788,,,7.0218505859375,,,,0.016435065999985454,,,,,2.0,0.0016133969999145847,,
,,,,,8,0.0,0.0009617700000035256,,,,,,,,1680687173.0,0.0001,0.03984190500000295,0.0001812189999554903,,,0.0,,1760.0,,63,54.0,,0.018265611999936482,,0.002430488000072728,,,6.93408203125,,,,0.016408048000016606,,,,,2.0,0.0015947680000181208,,
,,,,,8,0.0,0.01264236399993024,,,,,,,,1680687173.0,0.0001,0.0521367009999949,0.00024544000007153954,,,0.0,,1792.0,,64,55.0,,0.018491435999976602,,0.0024312880000252335,,,7.0855712890625,,,,0.016703538999990997,,,,,2.0,0.0016226340000002892,,
,,,,,8,0.0,0.0007860030000301776,,,,,,,,1680687173.0,0.0001,0.0398486670001148,0.00017825199995513685,,,0.0,,1824.0,,65,56.0,,0.018225536000045395,,0.002440031999981329,,,7.27099609375,,,,0.01660073600010037,,,,,2.0,0.001618108000002394,,
1639.0,3.7415203236776757,20471.693312,410129.0,180.0,8,,,4934.275072,,0.0,0.0,0.9666666666666666,491.06264530032036,2.719744,1680687173.0,,,,3.3,179482.0,,0.0,,1095.348224,66,,,,0.3079999999999927,,1.5666666666666667,0.0,,92174.0,0.06940554647910127,0.7333333333333333,,204141.60896,0.07499999999993179,0.0,152.0,,,5778.67776,4236.86144
,,,,,8,0.0,0.023362896999969962,,,,,,,,1680687173.0,0.0001,0.06258885599993391,0.00020235900001353002,,,0.0,,1856.0,,67,57.0,,0.018386424999903284,,0.00222678900001938,,,7.0350341796875,,,,0.01671736299999793,,,,,2.0,0.0016930230000298252,,
,,,,,8,0.0,0.0005221650000066802,,,,,,,,1680687173.0,0.0001,0.04021618000001581,0.000207203000059053,,,0.0,,1888.0,,68,58.0,,0.01841918299999179,,0.0024192019999418335,,,7.0692138671875,,,,0.01674701800004641,,,,,2.0,0.0019014089999700445,,
,,,,,8,0.0,0.04142182499992941,,,,,,,,1680687173.0,0.0001,0.08059251899999254,0.00019969000004493864,,,0.0,,1920.0,,69,59.0,,0.018393337000020438,,0.0023476750000099855,,,7.0382080078125,,,,0.016609480999932202,,,,,2.0,0.0016205110000555578,,
,,,,,9,0.0,0.0009451839999883305,,,,,,,,1680687174.0,0.0001,0.039565188999972634,0.00017635599999721308,,,0.0,,1952.0,,70,60.0,,0.01818332800007738,,0.002329186999986632,,,7.3043212890625,,,,0.01632240699996146,,,,,2.0,0.0016087269999616183,,
,,,,,9,0.0,0.006264691999945171,,,,,,,,1680687174.0,0.0001,0.04650613599983444,0.000201789000016106,,,0.0,,1984.0,,71,61.0,,0.018392731999938405,,0.002429172999995899,,,7.2469482421875,,,,0.017634457999974984,,,,,2.0,0.0015832919999638762,,
