_runtime,01_general/step,cpu/interrupts/interrupts_count,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,_step,process/memory/resident_set_size_proc_MB,03_hivemind/global_epoch,disk/time/disk_write_time_sys_s,02_timing/step_time_s,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,process/memory/shared_memory_proc_MB,disk/counter/disk_read_sys_count,01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/virtual_memory_size_proc_MB,cpu/interrupts/ctx_switches_count,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_five_min_percent,02_timing/backward_time_s,memory/used_memory_sys_percent,process/memory/data_resident_set_proc_MB,memory/used_memory_sys_MB,02_timing/opt_step_time_s,memory/total_memory_sys_MB,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,02_timing/forward_time_s,01_general/lr,03_hivemind/num_peers,cpu/logical_core_count,01_general/minibatch_loss,02_timing/dataload_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,_timestamp,disk/counter/disk_write_sys_count,memory/available_memory_sys_MB
31,,272270.0,5146.267648,1221.0,34.38109121743497,0.13961994080165246,52,6604.345344,,0.35500000000047294,,,0.006266080000159491,2397.970432,6.0,,0.0,2.654208,7.000000000000001,28565.884928,32842.0,0.0008460640001430875,8.875,,29.6,0.0,7184.384,,,27003.0,20.25,86.0,0.0,0.012257443363997969,0.029520598000090104,,,,,,0.3199999999999932,0.004999999999999005,1680986038.0,317.0,22216.68352
31,21.0,,,,,,53,,0.0,,0.5066992430001847,0.0,,,,704.0,,,,,,,,0.3558256729997993,,,,0.1090037259998553,,,,,,,,0.0001,2.0,,7.0963134765625,0.005237102000137384,,,1680986038.0,,
32,,273901.0,5146.271744,1234.0,29.964804712789096,0.19233851117885695,54,6604.288,,0.35900000000037835,,,0.006727198000135104,2397.904896,6.0,,0.0,2.654208,7.000000000000001,28565.884928,33978.0,0.0006995310000093014,8.875,0.3597934520000763,29.6,0.0,7185.301504,,,28103.0,20.25,88.0,0.0,0.08988511760228622,0.0274165409998659,,,,,,0.33199999999999363,0.004999999999999005,1680986039.0,323.0,22215.897088
32,22.0,,,,,,55,,0.0,,0.5078082040001846,0.0,,,,736.0,,,,,,,,,,,,0.10862140099993667,,,,,,,,0.0001,2.0,,7.0667724609375,0.004550081000161299,,,1680986039.0,,
33,,275287.0,5146.27584,1257.0,30.52983328931053,0.08596949544952863,56,6604.353536,,0.3599999999996726,,,0.0068379100000584,2397.966336,6.0,,0.0,2.654208,7.000000000000001,28565.884928,34968.0,0.0007929789999252534,8.875,0.3596866069999578,29.6,0.0,7183.802368,0.10971419099996638,,28947.0,20.25,89.0,0.0,0.008172369420740313,0.026040276999992784,,,,,,0.3439999999999941,0.004999999999999005,1680986040.0,325.0,22217.261056
33,23.0,,,,,,57,,0.0,,0.5075336379998134,0.0,,,,768.0,,,,,,,,,,,,,,,,,,,,0.0001,2.0,,7.1168212890625,0.0044616739999128185,,,1680986040.0,,
34,,276745.0,5146.27584,1270.0,30.489016813482955,0.1578313699169291,58,6604.296192,,0.4710000000004584,,,0.006876097000031223,2397.904896,6.0,,0.0,2.654208,7.000000000000001,28565.884928,35935.0,0.000679573000070377,8.875,0.3576889739999842,29.6,0.0,7185.178624,0.10967934899986176,,29912.0,20.25,94.0,0.0,0.4005131652752537,0.029958773000089423,,,,,,0.3599999999999852,0.004999999999999005,1680986041.0,388.0,22215.8848
34,24.0,,,,,,59,,0.0,,0.5105647130001216,0.0,,,,800.0,,,,,,,,,,,,,,,,,,,,0.0001,2.0,,7.2431640625,0.0056819470000846195,,,1680986041.0,,
35,,277973.0,5146.279936,1286.0,23.586893133662404,0.09033280602440948,60,6604.365824,,0.4719999999997526,,,0.006794760000047972,2397.966336,6.0,,0.0,2.654208,7.000000000000001,28565.884928,36828.0,0.000687043999960224,9.0,0.3558611270000256,29.6,0.0,7186.255872,0.10965462800004389,,30635.0,19.625,95.0,0.0,0.008171448171325833,0.026363071000105265,,,,,,0.3719999999999857,0.004999999999999005,1680986042.0,390.0,22214.795264
35,25.0,,,,,,61,,0.0,,0.5037564630001725,0.0,,,,832.0,,,,,,,,,,,,,,,,,,,,0.0001,2.0,,7.089111328125,0.0043958329999895795,,,1680986042.0,,
