_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
47,46,,,1696112743,6.125,0.0,0.24799999999999045,3184.386048,0.004086228445789836,23802.0,0.09990509311962394,1114.464256,191.0,3109.330944,0.0,0.0,0.0,0.25,10732.0,0.09697609734604276,28917.501952,2.711552,739.0,0.1430000000000291,3286.196224,0.0,107140.0,12.8,4.75,14637.969408,27.0,,,,,,,,,,,,,,
48,47,,,1696112744,6.125,0.0,0.25200000000000955,3184.381952,0.004085911628146239,24100.0,0.00557822700851741,1114.464256,192.0,3109.330944,0.0,0.0,0.0,0.25,10863.0,0.005658029967977494,28917.501952,2.711552,739.0,0.14400000000023283,3286.196224,0.0,107344.0,12.8,4.75,14637.969408,27.0,,,,,,,,,,,,,,
49,48,,,1696112745,6.125,0.0,0.2599999999999909,3184.381952,0.03268681103309407,24458.0,0.046037649624335535,1114.464256,195.0,3109.330944,0.0,0.0,0.0,0.25,11007.0,0.008905879174354451,28917.501952,2.711552,739.0,0.14600000000018554,3286.196224,0.0,107593.0,12.8,4.75,14637.969408,27.0,,,,,,,,,,,,,,
50,49,,,1696112746,6.125,0.0,0.26400000000001,3184.369664,0.004086455885064905,24933.0,0.020208801366076,1114.464256,196.0,3109.330944,0.0,0.0,0.0,0.25,11241.0,0.013185205306928802,28917.501952,2.711552,739.0,0.14699999999993452,3286.196224,0.0,107945.0,12.8,4.75,14637.969408,27.0,,,,,,,,,,,,,,
51,51,,,1696112748,6.25,0.0,0.2680000000000291,3343.99488,0.004086348966012965,25591.0,0.06918061100042497,1114.537984,197.0,3109.502976,0.0,0.0,0.0,2.25,11875.0,0.03242741376538339,28757.819392,2.711552,748.0,0.14699999999993452,3303.243776,0.0,109227.0,13.3,5.125,14789.029888,30.0,,,,,,,,,,,,,,
52,52,,,1696112749,6.25,0.0,0.27199999999999136,3467.292672,0.004084203991710136,26847.0,0.033838268223275215,1114.537984,198.0,3109.511168,0.0,0.0,0.0,2.25,12528.0,0.027352998997928212,28619.186176,2.711552,748.0,0.14800000000013824,3303.243776,0.0,110844.0,13.7,5.125,14789.029888,30.0,,,,,,,,,,,,,,
53,52,,,1696112749,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.1200004337297287e-06,0.43533832100001746,0.003287434999947436,8.0,2.373905897140503,0.2762957820000338,2.4771856240004126,0.0,0.0001,1.7596833259999585,0.0025796400000217545,0.0,0.0
54,53,,,1696112750,6.25,0.0,0.2839999999999918,3639.631872,0.008171261615192943,28714.0,0.09333910853641131,1273.606144,200.0,3286.900736,0.0,0.0,0.0,2.25,13569.0,0.03382615038699693,28437.049344,2.711552,796.0,0.14900000000034197,3334.856704,0.0,113534.0,14.3,5.125,26033.635328,32.0,,0.0005229670000517217,0.12818574499988244,0.008383402999697864,,,0.030599272000017663,,,,,0.0022513470003104885,,
55,53,,,1696112750,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,16.0,2.2865214347839355,,0.1723743520001335,0.0,0.0001,0.00243161800017333,,0.0,1.0
56,53,,,1696112750,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0006137199998192955,0.12659228199981953,0.0094880319998083,24.0,2.1876306533813477,0.03062140600013663,0.17199564200018358,0.0,0.0001,0.0022920240003259096,0.0023881780002739106,0.0,2.0
